cell_type_imm_custom	Gene	key	Pathway	Normal	Tumor	diff
Mast	TGFB3	ligands	TGFB	0	0.006745957961653969	0.006745957961653969
Tconv	EPHA4	receptors	EPHRIN	0.00897948514925689	0.015714958696737696	0.006735473547480806
Plasma L	NOTCH2	receptors	NOTCH	0.028703283822547523	0.03542349039074991	0.006720206568202384
Plasma K 2	EFNB1	ligands	EPHRIN	0.007943400371804046	0.014643954518872083	0.0067005541470680375
Plasma K 3	TNFRSF1B	receptors	TNFSF10	0	0.006631987935491646	0.006631987935491646
Plasma K 3	EFNB1	ligands	EPHRIN	0	0.006467499047820991	0.006467499047820991
Plasma K 2	DLL1	ligands	NOTCH	0.00540369878537165	0.011696812910471253	0.006293114125099603
GC B cells	VEGFD	ligands	VEGF	0.009241962407465937	0.015518220460297282	0.006276258052831345
Plasma K 2	IHH	ligands	HEDGEHOG	0.0024562267206234773	0.008542306802675382	0.006086080082051905
B cells	EPHB3	receptors	EPHRIN	0.0013494104748084594	0.0074280872932095225	0.006078676818401063
Plasma K 1	NOTCH1	receptors	NOTCH	0.01303686092766437	0.019090003410536	0.006053142482871629
Mast	FZD5	receptors	WNT	0.006795560593724954	0.012791959542646671	0.005996398948921717
Plasma K 3	TGFB3	ligands	TGFB	0	0.005905107826271339	0.005905107826271339
Plasma K 3	WNT10B	ligands	WNT	0	0.005905107826271339	0.005905107826271339
CD8+ T 1	HBEGF	ligands	EGF	0.02893790297534543	0.03479749971777074	0.00585959674242531
CD8+ T 2	FGFR1	receptors	FGF	0.017773004629742187	0.02359566866723311	0.005822664037490922
CD8+ T 2	BMPR1A	receptors	BMP	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	EPHB4	receptors	EPHRIN	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	FZD7	receptors	WNT	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	FZD8	receptors	WNT	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	JAG1	ligands	NOTCH	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	TGFB3	ligands	TGFB	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	WNT10B	ligands	WNT	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	WNT11	ligands	WNT	0	0.0057762265046662105	0.0057762265046662105
CD8+ T 2	WNT16	ligands	WNT	0	0.0057762265046662105	0.0057762265046662105
Treg	TNFRSF10B	receptors	TRAIL	0.04479496087993334	0.05053784918654289	0.005742888306609545
Plasma K 3	FGF2	ligands	FGF	0	0.005623912215496514	0.005623912215496514
Treg	JAG2	ligands	NOTCH	0.0037066694147590657	0.009296438283508408	0.005589768868749343
Monocyte	LTA	ligands	TNFSF10	0	0.005485855792277485	0.005485855792277485
Treg	ACVR2B	receptors	TGFB	0.0018533347073795329	0.007318065016369572	0.005464730308990039
B cells	VEGFA	ligands	VEGF	0.011661071183270321	0.0170133635022368	0.00535229231896648
Tconv	EREG	ligands	EGF	0.0019288495320916247	0.007280683755573609	0.005351834223481984
Plasma K 3	EFNA1	ligands	EPHRIN	0	0.005342716604721688	0.005342716604721688
Mast	WNT11	ligands	WNT	0.013591121187449907	0.018837961123639373	0.005246839936189466
Plasma K 1	TNFRSF1B	receptors	TNFSF10	0.009404982097149869	0.014604882814393854	0.005199900717243985
GC B cells	ACVR1C	receptors	TGFB	0	0.005172740153432428	0.005172740153432428
GC B cells	BMP4	ligands	BMP	0	0.005172740153432428	0.005172740153432428
GC B cells	DLL4	ligands	NOTCH	0	0.005172740153432428	0.005172740153432428
GC B cells	EPHB1	receptors	EPHRIN	0	0.005172740153432428	0.005172740153432428
GC B cells	EPHB4	receptors	EPHRIN	0	0.005172740153432428	0.005172740153432428
GC B cells	FGF2	ligands	FGF	0	0.005172740153432428	0.005172740153432428
GC B cells	FGFR3	receptors	FGF	0	0.005172740153432428	0.005172740153432428
GC B cells	FZD1	receptors	WNT	0	0.005172740153432428	0.005172740153432428
GC B cells	FZD2	receptors	WNT	0	0.005172740153432428	0.005172740153432428
GC B cells	IHH	ligands	HEDGEHOG	0	0.005172740153432428	0.005172740153432428
GC B cells	MST1R	receptors	MST	0	0.005172740153432428	0.005172740153432428
GC B cells	NOTCH4	receptors	NOTCH	0	0.005172740153432428	0.005172740153432428
Mast	HBEGF	ligands	EGF	0.03115739049360731	0.03627600948595621	0.005118618992348899
Plasma K 2	BMP3	ligands	TGFB	4.912453441246955e-4	0.005595165194274552	0.005103919850149857
Plasma K 2	WNT10B	ligands	WNT	0.0034387174088728683	0.008542306802675382	0.0051035893938025136
Mast	EPHB6	receptors	EPHRIN	0	0.0050594684712404765	0.0050594684712404765
Mast	ERBB2	receptors	EGF	0	0.0050594684712404765	0.0050594684712404765
Mast	MET	receptors	HGF	0	0.0050594684712404765	0.0050594684712404765
Monocyte	TGFB2	ligands	TGFB	0.008015827902541937	0.013065109109736014	0.005049281207194077
B cells	MET	receptors	HGF	0.0013494104748084594	0.006394547511321507	0.005045137036513048
Plasma K 2	WNT4	ligands	WNT	0.012077248363959498	0.017084613605350765	0.005007365241391266
Plasma K 2	MET	receptors	HGF	0.0024562267206234773	0.007321977259436042	0.004865750538812564
Plasma K 2	LGR4	receptors	WNT AMP	0.009824906882493909	0.014643954518872083	0.004819047636378174
Monocyte	ACVR1C	receptors	TGFB	0.0022359586469675656	0.006978370446368509	0.004742411799400943
Treg	VEGFA	ligands	VEGF	0.012800780060914561	0.017508805917302247	0.004708025856387686
Plasma K 2	MST1	ligands	MST	0.003929962752997564	0.008542306802675382	0.004612344049677818
CD8+ T 2	EPHA2	receptors	EPHRIN	0	0.004577551202783791	0.004577551202783791
Monocyte	EFNA3	ligands	EPHRIN	0.0022359586469675656	0.006784916534192885	0.0045489578872253186
Plasma K 2	EFNA1	ligands	EPHRIN	0.007656040266837238	0.012203295432393403	0.004547255165556165
Mast	EFNB2	ligands	EPHRIN	0.0962925839558394	0.1007706434871327	0.0044780595312933075
Tconv	BMPR2	receptors	BMP	0.03707815915525923	0.041523676322965226	0.004445517167705998
Treg	EPHA1	receptors	EPHRIN	0	0.004443281980656894	0.004443281980656894
CD8+ T 1	NOTCH1	receptors	NOTCH	0.054269675490554406	0.058693238298730965	0.004423562808176559
CD8+ T 1	FZD3	receptors	WNT	0.004834125617407294	0.009230447522786667	0.004396321905379374
Plasma K 2	LGR6	receptors	WNT AMP	4.912453441246955e-4	0.004881318172957361	0.004390072828832666
Plasma K 3	WNT5A	ligands	WNT	0	0.00438242304929304	0.00438242304929304
Mast	JAG1	ligands	NOTCH	0	0.004359512090579209	0.004359512090579209
Plasma K 3	FZD2	receptors	WNT	0	0.004308458928889813	0.004308458928889813
Treg	TNFRSF10A	receptors	TRAIL	0.04434068538048041	0.04864753318280382	0.004306847802323412
Treg	LGR4	receptors	WNT AMP	0.005560004122138598	0.009853972073721896	0.0042939679515832975
Plasma K 3	LGR4	receptors	WNT AMP	0	0.004217934161622385	0.004217934161622385
Plasma K 3	WNT11	ligands	WNT	0	0.004217934161622385	0.004217934161622385
Plasma L	NOTCH1	receptors	NOTCH	0.012382473784683008	0.0165452194721858	0.004162745687502793
CD8+ T 1	EREG	ligands	EGF	0.0041071850297491235	0.007989452133900324	0.0038822671041512007
Plasma K 2	LTBP1	ligands	TGFB	0.0029474720647481726	0.006815494737513893	0.0038680226727657203
CD8+ T 1	FZD6	receptors	WNT	7.944380292950662e-4	0.004630544135438129	0.003836106106143063
CD8+ T 1	TNFRSF10B	receptors	TRAIL	0.04853598286380978	0.05225597646324658	0.0037199935994368036
Plasma L	TNFRSF1B	receptors	TNFSF10	0.019028323991924247	0.022731559033359626	0.0037032350414353786
Treg	FZD6	receptors	WNT	0.0018533347073795329	0.005552686780733533	0.003699352073354
Plasma K 3	BMPR1A	receptors	BMP	0	0.003655542940072734	0.003655542940072734
Plasma K 3	HGF	ligands	HGF	0	0.003655542940072734	0.003655542940072734
Plasma K 3	MET	receptors	HGF	0	0.003655542940072734	0.003655542940072734
Plasma K 3	TNFRSF1A	receptors	TNFSF10	0	0.0036555429400727335	0.0036555429400727335
B cells	EREG	ligands	EGF	0.0017992139664112792	0.005450522501190815	0.0036513085347795356
B cells	FZD7	receptors	WNT	0.007604778422051589	0.011204187333732294	0.003599408911680705
Tconv	ACVR1	receptors	TGFB	0.01698156197463563	0.02053041684382669	0.00354885486919106
Mast	PTCH2	receptors	HEDGEHOG	0.02038668178117486	0.023897429594879848	0.003510747813704987
Plasma K 1	EFNA1	ligands	EPHRIN	0.01214963410449682	0.015607963351169159	0.0034583292466723384
Plasma K 2	EPHA1	receptors	EPHRIN	0.0014737360323740863	0.004881318172957361	0.0034075821405832748
Plasma K 3	FZD1	receptors	WNT	0	0.003374347329297908	0.003374347329297908
Plasma K 3	IGF1R	receptors	IGF	0	0.003374347329297908	0.003374347329297908
Plasma K 3	MST1R	receptors	MST	0	0.003374347329297908	0.003374347329297908
Mast	DLL4	ligands	NOTCH	0	0.0033729789808269843	0.0033729789808269843
Mast	LGR5	receptors	WNT AMP	0	0.0033729789808269843	0.0033729789808269843
Mast	NOTCH3	receptors	NOTCH	0	0.0033729789808269843	0.0033729789808269843
Mast	NOTCH4	receptors	NOTCH	0	0.0033729789808269843	0.0033729789808269843
CD8+ T 1	EPHB3	receptors	EPHRIN	0.001424015272084814	0.004780222633071729	0.0033562073609869156
Plasma K 1	EFNB1	ligands	EPHRIN	0.005329489855051592	0.008684694509756558	0.003355204654704966
Tconv	EFNA1	ligands	EPHRIN	0.005929887944780993	0.009243752769123238	0.003313864824342245
B cells	NOTCH4	receptors	NOTCH	0.0017992139664112792	0.005112782153761451	0.003313568187350172
Mast	FZD2	receptors	WNT	0.013591121187449907	0.01686489490413492	0.003273773716685014
Plasma K 3	LTBP1	ligands	TGFB	0	0.0032576406061937376	0.0032576406061937376
Monocyte	NOTCH4	receptors	NOTCH	0	0.003256396150281622	0.003256396150281622
Plasma K 3	BMP7	ligands	BMP	0	0.0030931517185230823	0.0030931517185230823
Plasma K 3	DLL1	ligands	NOTCH	0	0.0030931517185230823	0.0030931517185230823
Treg	EPHA2	receptors	EPHRIN	0	0.0029950012022199	0.0029950012022199
Plasma K 3	EPHB3	receptors	EPHRIN	0	0.0029764449954189118	0.0029764449954189118
Plasma K 1	JAG2	ligands	NOTCH	3.134994032383289e-4	0.0032567604411587094	0.0029432610379203803
Monocyte	JAG2	ligands	NOTCH	0.0022359586469675656	0.0051567184590520735	0.002920759812084508
Plasma K 2	EFNA5	ligands	EPHRIN	0.001964981376498782	0.004881318172957361	0.002916336796458579
Plasma K 2	EPHA4	receptors	EPHRIN	0.001964981376498782	0.004881318172957361	0.002916336796458579
B cells	EPHB2	receptors	EPHRIN	4.498034916028198e-4	0.003348844921336086	0.002899041429733266
CD8+ T 2	ACVR1C	receptors	TGFB	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	BMP7	ligands	BMP	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	EPHB2	receptors	EPHRIN	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	ERBB2	receptors	EGF	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	FGFR2	receptors	FGF	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	FST	ligands	TGFB	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	FZD1	receptors	WNT	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	KDR	receptors	VEGF	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	LRRC32	ligands	TGFB	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	LTBP1	ligands	TGFB	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	MET	receptors	HGF	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	NOTCH4	receptors	NOTCH	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	TGFA	ligands	EGF	0	0.0028881132523331052	0.0028881132523331052
CD8+ T 2	WNT5B	ligands	WNT	0	0.0028881132523331052	0.0028881132523331052
Plasma K 2	TGFBR1	receptors	TGFB	0.03692687567516108	0.03976439240497608	0.0028375167298150053
Plasma K 3	EPHA2	receptors	EPHRIN	0	0.002811956107748257	0.002811956107748257
Plasma L	JAG2	ligands	NOTCH	0.0017901528423552306	0.004588981223761869	0.0027988283814066386
Monocyte	BMP7	ligands	BMP	0	0.0027911967002413906	0.0027911967002413906
Monocyte	LGR5	receptors	WNT AMP	0	0.0027911967002413906	0.0027911967002413906
B cells	DLL1	ligands	NOTCH	0.01312073411544114	0.015889714368307058	0.002768980252865918
B cells	ACVR2B	receptors	TGFB	0.0034117426165008314	0.006118863557810154	0.002707120941309323
Plasma K 2	JAG1	ligands	NOTCH	9.82490688249391e-4	0.003660988629718021	0.00267849794146863
Mast	EPHA1	receptors	EPHRIN	0	0.002673022600165717	0.002673022600165717
Mast	EPHA2	receptors	EPHRIN	0	0.002673022600165717	0.002673022600165717
Mast	LGR6	receptors	WNT AMP	0	0.002673022600165717	0.002673022600165717
