comparison	TC	baseline	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
TC1_vs_TC	TC1	TC	RAD51AP1	2.8760832431749482e-192	0.3251652845385075	0.367	0.043	6.285392319634532e-188
TC1_vs_TC	TC1	TC	HNRNPAB	6.41267585219407e-192	0.6269253249640608	0.91	0.566	1.401426180738492e-187
TC1_vs_TC	TC1	TC	XRCC2	8.193509841913736e-192	0.42873603422571005	0.408	0.06	1.790609640851828e-187
TC1_vs_TC	TC1	TC	CENPU	9.58042014728492e-191	0.3245833542704497	0.352	0.038	2.0937050189876466e-186
TC1_vs_TC	TC1	TC	ASPM	1.0153892570707383e-190	0.4361372382934221	0.403	0.058	2.2190316824023915e-186
TC1_vs_TC	TC1	TC	HMMR	3.044401153119442e-188	0.4453535230930533	0.346	0.038	6.653234280027229e-184
TC1_vs_TC	TC1	TC	FANCI	1.6664569807598912e-186	0.34877174696528596	0.379	0.051	3.6418750857526665e-182
TC1_vs_TC	TC1	TC	HSPD1	6.977457023292656e-185	0.729458100572199	0.973	0.77	1.5248534578703772e-180
TC1_vs_TC	TC1	TC	TUBB	1.2388337807869114e-183	0.7116293632693732	0.815	0.439	2.7073473445317163e-179
TC1_vs_TC	TC1	TC	HNRNPD	1.5063782566136193e-183	0.5439736524548509	0.825	0.434	3.2920390420034034e-179
TC1_vs_TC	TC1	TC	SNRPF	4.0495347153996357e-181	0.6710950886096796	0.83	0.466	8.849853167034363e-177
TC1_vs_TC	TC1	TC	SMC1A	5.445014886824335e-180	0.5581333449357964	0.708	0.287	1.1899535533665902e-175
TC1_vs_TC	TC1	TC	ALYREF	6.055126820596537e-180	0.49967942530961	0.644	0.224	1.3232874153731672e-175
TC1_vs_TC	TC1	TC	NCAPD2	3.961063086874064e-179	0.4039754108335033	0.466	0.1	8.65650727005458e-175
TC1_vs_TC	TC1	TC	RPA3	2.5479223240875504e-178	0.5463659805606588	0.621	0.213	5.568229447060932e-174
TC1_vs_TC	TC1	TC	ATP5MC1	4.492896435123673e-178	0.6552974038736822	0.841	0.454	9.818775869319275e-174
TC1_vs_TC	TC1	TC	PRKDC	5.548202752794929e-178	0.6223500108101677	0.85	0.472	1.2125042295958038e-173
TC1_vs_TC	TC1	TC	HMGB3	1.0497660227846353e-177	0.5202521164631666	0.657	0.236	2.294158666193542e-173
TC1_vs_TC	TC1	TC	MCM2	2.6084061305217365e-177	0.3313242677481622	0.392	0.062	5.700410757642203e-173
TC1_vs_TC	TC1	TC	RAN	8.871397350797676e-177	0.6499782260692222	0.92	0.619	1.938755177043324e-172
TC1_vs_TC	TC1	TC	PAICS	3.2899189666945964e-175	0.5079581698279023	0.736	0.318	7.189788909814371e-171
TC1_vs_TC	TC1	TC	DLGAP5	4.055851627812712e-175	0.3552950499930594	0.345	0.043	8.863658147421902e-171
TC1_vs_TC	TC1	TC	ENO1	3.0048998445493553e-174	0.6231297623052858	0.955	0.725	6.566908120278161e-170
TC1_vs_TC	TC1	TC	FBL	5.459585161439516e-174	0.5300554736264799	0.834	0.453	1.193137741180992e-169
TC1_vs_TC	TC1	TC	NCL	1.4594024273731846e-172	0.7069443694865911	0.953	0.712	3.1893780647813576e-168
TC1_vs_TC	TC1	TC	FOXM1	2.923559350458242e-172	0.29769731673011934	0.345	0.044	6.389146604491442e-168
TC1_vs_TC	TC1	TC	SSRP1	8.149388196229853e-171	0.4708997582371234	0.718	0.301	1.7809672964040722e-166
TC1_vs_TC	TC1	TC	FABP5	1.0079893909284963e-169	0.5762576569331116	0.615	0.208	2.2028600149351356e-165
TC1_vs_TC	TC1	TC	WDR34	1.0820237358773145e-169	0.5063016852880393	0.639	0.235	2.364654672386283e-165
TC1_vs_TC	TC1	TC	UBE2C	2.5597176949211665e-169	0.5005089176295962	0.37	0.058	5.5940070504807175e-165
TC1_vs_TC	TC1	TC	SKA2	3.539294131730813e-169	0.3369222019186656	0.391	0.067	7.734773395484519e-165
TC1_vs_TC	TC1	TC	TFDP1	7.037239399238386e-169	0.472849415825435	0.587	0.193	1.5379182983095569e-164
TC1_vs_TC	TC1	TC	DHFR	1.3640720327509726e-168	0.3126125735439688	0.355	0.05	2.9810430203739755e-164
TC1_vs_TC	TC1	TC	NUSAP1	1.6462953520345613e-168	0.3507530845164635	0.338	0.043	3.5978138623363305e-164
TC1_vs_TC	TC1	TC	NUCKS1	4.1708734367286304e-166	0.5808579020751428	0.91	0.65	9.11502680862675e-162
TC1_vs_TC	TC1	TC	CCNB2	1.3370380411778925e-163	0.3791492596722791	0.322	0.04	2.9219629351901663e-159
TC1_vs_TC	TC1	TC	BRCA1	5.053829903125997e-161	0.29900638878510793	0.325	0.041	1.1044639870291554e-156
TC1_vs_TC	TC1	TC	CDK1	7.171296209959815e-161	0.3443527276341366	0.317	0.039	1.567215073724618e-156
TC1_vs_TC	TC1	TC	KIF11	1.5965283128632825e-160	0.2965602461025468	0.311	0.036	3.4890529749314174e-156
TC1_vs_TC	TC1	TC	ANP32B	9.612442184683237e-160	0.5410277068074886	0.89	0.569	2.1007031150406744e-155
TC1_vs_TC	TC1	TC	FAM111B	2.0722195399278642e-159	0.3196862385466547	0.298	0.033	4.528628582558354e-155
TC1_vs_TC	TC1	TC	SERBP1	2.511970352035855e-159	0.5447688673776468	0.935	0.694	5.489660007339158e-155
TC1_vs_TC	TC1	TC	GGCT	6.389541990619161e-159	0.5190559231027723	0.728	0.337	1.3963705066299113e-154
TC1_vs_TC	TC1	TC	BUB1	8.67118099211369e-158	0.2828692603103807	0.291	0.03	1.894999894016526e-153
TC1_vs_TC	TC1	TC	CENPX	3.646008229404552e-157	0.5374081967561062	0.743	0.363	7.967986384540708e-153
TC1_vs_TC	TC1	TC	RAD21	9.433118187548931e-157	0.5489011046625577	0.792	0.429	2.061513648706943e-152
TC1_vs_TC	TC1	TC	ATP5ME	4.1380234344114356e-155	0.5790415747968833	0.937	0.731	9.043236413562751e-151
TC1_vs_TC	TC1	TC	DIAPH3	4.250750870450438e-155	0.298343154594005	0.308	0.038	9.289590952282388e-151
TC1_vs_TC	TC1	TC	CDKN3	5.191939517782418e-155	0.2847282437165405	0.286	0.03	1.1346464622161696e-150
TC1_vs_TC	TC1	TC	AURKB	3.616358685217202e-154	0.28984422524582365	0.298	0.034	7.903190270673673e-150
TC1_vs_TC	TC1	TC	LSM5	5.807734854248407e-154	0.5466925794703401	0.763	0.402	1.2692223750474468e-149
TC1_vs_TC	TC1	TC	RMI2	2.106816703115527e-153	0.28289090612709794	0.306	0.038	4.604237222988673e-149
TC1_vs_TC	TC1	TC	CDCA7	8.574126841666454e-153	0.4780736385557084	0.622	0.232	1.873789679977787e-148
TC1_vs_TC	TC1	TC	ATP5F1A	1.226301039781792e-150	0.561680370435832	0.841	0.504	2.679958292339128e-146
TC1_vs_TC	TC1	TC	CENPJ	1.4959338433718283e-150	0.44091892602518745	0.483	0.129	3.2692138213047936e-146
TC1_vs_TC	TC1	TC	LSM3	1.5721246623720656e-150	0.5460319300575436	0.743	0.38	3.435721237147912e-146
TC1_vs_TC	TC1	TC	KPNA2	1.593272742726778e-150	0.44139911811124544	0.459	0.117	3.4819382519551006e-146
TC1_vs_TC	TC1	TC	NUDT1	1.0114381324683503e-149	0.37743950751234506	0.527	0.157	2.2103968946963327e-145
TC1_vs_TC	TC1	TC	HNRNPA3	1.0588270885880819e-149	0.5198348178138739	0.893	0.609	2.313960719400394e-145
TC1_vs_TC	TC1	TC	GTSE1	7.904696299168077e-147	0.30529766848120565	0.305	0.04	1.7274923292201915e-142
TC1_vs_TC	TC1	TC	SNRPG	7.328986722694941e-146	0.5494354199739364	0.808	0.481	1.6016767583777523e-141
TC1_vs_TC	TC1	TC	CIP2A	7.693012180955452e-146	0.2634277892084425	0.298	0.038	1.6812308820260044e-141
TC1_vs_TC	TC1	TC	SNRPD1	6.007026205201129e-144	0.46641712032149374	0.712	0.336	1.3127755068846548e-139
TC1_vs_TC	TC1	TC	SNRPB	6.634965777320937e-144	0.4889114457489922	0.752	0.391	1.4500054209757174e-139
TC1_vs_TC	TC1	TC	SET	9.078813326787585e-143	0.6257223803875784	0.922	0.678	1.984083864436159e-138
TC1_vs_TC	TC1	TC	CCDC34	1.3676070340081276e-142	0.4078884003487058	0.538	0.177	2.988768412121362e-138
TC1_vs_TC	TC1	TC	TACC3	7.469966956764954e-142	0.2564399846169458	0.295	0.039	1.6324865787314131e-137
TC1_vs_TC	TC1	TC	CENPE	2.0731090297483932e-141	0.41917893938878187	0.379	0.077	4.530572473612139e-137
TC1_vs_TC	TC1	TC	BRI3BP	2.1257989931043016e-141	0.4409189260251877	0.611	0.241	4.645721119530141e-137
TC1_vs_TC	TC1	TC	CENPH	3.263786539693696e-141	0.27959913753979776	0.339	0.058	7.132679103846603e-137
TC1_vs_TC	TC1	TC	MCM8	3.997797643134025e-141	0.3016158278804657	0.358	0.067	8.736786969305098e-137
TC1_vs_TC	TC1	TC	ATP5MC3	7.902763313572896e-141	0.5977838162153517	0.933	0.704	1.727069894548221e-136
TC1_vs_TC	TC1	TC	MIS18A	2.318993729571538e-140	0.3150808248188869	0.423	0.101	5.067928896605639e-136
TC1_vs_TC	TC1	TC	SRSF3	3.8532873639513115e-140	0.48500252798721333	0.895	0.611	8.420974205179196e-136
TC1_vs_TC	TC1	TC	DKC1	4.1700570659773534e-140	0.4939745506339113	0.736	0.36	9.113242711986908e-136
TC1_vs_TC	TC1	TC	CBX5	9.855489253752436e-139	0.4725278788034575	0.633	0.267	2.1538186215150574e-134
TC1_vs_TC	TC1	TC	POLE3	2.465097670680159e-137	0.42455820838760605	0.61	0.241	5.387224449504419e-133
TC1_vs_TC	TC1	TC	DBI	4.617511167476813e-137	0.5689708528850843	0.886	0.595	1.0091108905403828e-132
TC1_vs_TC	TC1	TC	PPM1G	6.60295900279161e-137	0.47536590207825963	0.739	0.397	1.4430106604700786e-132
TC1_vs_TC	TC1	TC	EIF5A	1.9169779427543405e-136	0.5299334514883287	0.827	0.501	4.189363596095336e-132
TC1_vs_TC	TC1	TC	CCT7	3.0619252626793897e-136	0.5054773895293201	0.789	0.444	6.691531469059539e-132
TC1_vs_TC	TC1	TC	HMGA1	6.565981430476805e-136	0.5087797093547367	0.905	0.628	1.434929581816401e-131
TC1_vs_TC	TC1	TC	HSPE1	2.926500511866575e-135	0.5931807316218882	0.887	0.592	6.395574218633212e-131
TC1_vs_TC	TC1	TC	MZT2B	4.3965937163998553e-135	0.48108496775052223	0.893	0.585	9.608315907820243e-131
TC1_vs_TC	TC1	TC	SUPT16H	7.418704988272481e-135	0.4066626793313388	0.664	0.292	1.6212837881370679e-130
TC1_vs_TC	TC1	TC	MRPS34	1.5627809807230058e-133	0.4665652252825848	0.825	0.489	3.4153015552720565e-129
TC1_vs_TC	TC1	TC	NAP1L1	2.2438544255946205e-132	0.5656042617686738	0.873	0.584	4.903719461694484e-128
TC1_vs_TC	TC1	TC	SNRPD2	4.1642139113712667e-132	0.46855918384337825	0.893	0.612	9.100473081910766e-128
TC1_vs_TC	TC1	TC	NOP56	2.9725285655706137e-131	0.48068590485925566	0.801	0.453	6.496163927198019e-127
TC1_vs_TC	TC1	TC	IPO5	4.3472783718407905e-131	0.44631981446790214	0.699	0.339	9.500542153820863e-127
TC1_vs_TC	TC1	TC	TUFM	4.622526578260263e-131	0.4528671201142376	0.882	0.597	1.0102069584129978e-126
TC1_vs_TC	TC1	TC	MCM5	1.3591611459628317e-130	0.2912051135447782	0.336	0.064	2.9703107683871726e-126
TC1_vs_TC	TC1	TC	ANLN	1.885527356590364e-128	0.262101831849657	0.283	0.041	4.120631485092581e-124
TC1_vs_TC	TC1	TC	TMPO	2.1980901924668209e-128	0.3625921714124094	0.514	0.175	4.80370630661699e-124
TC1_vs_TC	TC1	TC	MSH6	2.8633089532779326e-128	0.3285827966309361	0.393	0.096	6.257475386493594e-124
TC1_vs_TC	TC1	TC	PHB2	5.544286076078028e-128	0.47926039619626093	0.81	0.47	1.2116482790660922e-123
TC1_vs_TC	TC1	TC	CCT5	7.848781970045151e-128	0.4633133474287964	0.817	0.481	1.7152728117336674e-123
TC1_vs_TC	TC1	TC	PLK1	3.1838690775832545e-126	0.288247472049556	0.282	0.042	6.958027482150444e-122
TC1_vs_TC	TC1	TC	PLA2G2A	3.2436314945654e-126	0.7202464817347056	0.552	0.203	7.088632268223226e-122
TC1_vs_TC	TC1	TC	IGFBP2	3.4817147619746265e-126	0.5239566362963223	0.792	0.426	7.608939440819349e-122
TC1_vs_TC	TC1	TC	YBX1	1.6039272675353262e-125	0.5293964908293007	0.96	0.776	3.505222650471702e-121
TC1_vs_TC	TC1	TC	GAPDH	1.4621645609113915e-124	0.5477665516804295	0.995	0.95	3.195414431415755e-120
TC1_vs_TC	TC1	TC	ANAPC11	3.1048832575865897e-124	0.5008170676062564	0.743	0.415	6.785411871129733e-120
TC1_vs_TC	TC1	TC	TMEM97	1.8740668833603098e-123	0.3459860335296204	0.458	0.14	4.095585766895621e-119
TC1_vs_TC	TC1	TC	HNRNPM	2.9673794987729144e-123	0.4603247570554192	0.785	0.469	6.484911156618327e-119
TC1_vs_TC	TC1	TC	POLD2	3.146074333727986e-123	0.3835321618949029	0.633	0.278	6.875430848929141e-119
TC1_vs_TC	TC1	TC	POLQ	3.198207337239739e-123	0.2508447791799841	0.269	0.038	6.989362314803725e-119
TC1_vs_TC	TC1	TC	GOT2	4.090677057523342e-123	0.3969284308407809	0.629	0.279	8.939765641511512e-119
TC1_vs_TC	TC1	TC	LBR	2.5481667143598606e-122	0.463975225557823	0.697	0.355	5.568763537562039e-118
TC1_vs_TC	TC1	TC	DDX39A	8.744327773363068e-122	0.3508862753536933	0.531	0.192	1.910985391590765e-117
TC1_vs_TC	TC1	TC	TPI1	1.1803128648423536e-121	0.5512027787128959	0.956	0.768	2.5794557348264795e-117
TC1_vs_TC	TC1	TC	TOMM40	4.389220371451861e-121	0.3883988526544776	0.607	0.26	9.592202199770897e-117
TC1_vs_TC	TC1	TC	HIST1H4C	5.707479430696358e-121	0.7579481355838892	0.719	0.406	1.2473125547843821e-116
TC1_vs_TC	TC1	TC	CBX3	1.0907855117650634e-120	0.42375514065371767	0.807	0.486	2.3838026574113694e-116
TC1_vs_TC	TC1	TC	YWHAE	1.4420101745120689e-120	0.4438913273644012	0.927	0.674	3.1513690353786757e-116
TC1_vs_TC	TC1	TC	CCT2	2.515635235802614e-120	0.4648721670476802	0.77	0.446	5.497669244323033e-116
TC1_vs_TC	TC1	TC	PARP1	4.9426472393332794e-120	0.40424815050517876	0.621	0.279	1.080166127683895e-115
TC1_vs_TC	TC1	TC	RPSA	6.930809175911509e-119	0.5740351518935405	0.968	0.824	1.5146590373037013e-114
TC1_vs_TC	TC1	TC	BOLA3	1.9450205674424868e-118	0.3912322297446843	0.625	0.278	4.250647948088811e-114
TC1_vs_TC	TC1	TC	SLC25A5	4.571372879791654e-118	0.5782409251099865	0.913	0.659	9.990278291496681e-114
TC1_vs_TC	TC1	TC	SGO2	4.6741448624841724e-118	0.28445432306753227	0.311	0.06	1.021487618247291e-113
TC1_vs_TC	TC1	TC	GGH	2.3148681857028904e-117	0.4233932952463907	0.674	0.313	5.058912933035097e-113
TC1_vs_TC	TC1	TC	CSE1L	7.446554183518211e-117	0.3640275385363265	0.545	0.209	1.6273699512660697e-112
TC1_vs_TC	TC1	TC	PHB	7.953865557238766e-117	0.4426505281894655	0.726	0.39	1.7382377788789597e-112
TC1_vs_TC	TC1	TC	LYAR	1.2566042362337101e-115	0.36245653248570975	0.505	0.182	2.7461828978651503e-111
TC1_vs_TC	TC1	TC	DCTPP1	1.6506381357613743e-115	0.40988462782967533	0.667	0.322	3.607304581892908e-111
TC1_vs_TC	TC1	TC	TCOF1	2.497291385662675e-115	0.3009870663022725	0.413	0.118	5.45758059422721e-111
TC1_vs_TC	TC1	TC	C1QBP	2.619913144586446e-115	0.48585816358825273	0.747	0.41	5.7255581861792196e-111
TC1_vs_TC	TC1	TC	NHP2	6.922115818022624e-114	0.44419838551156077	0.772	0.443	1.5127591908706642e-109
TC1_vs_TC	TC1	TC	GOLIM4	9.222729098975279e-114	0.5060432425857404	0.754	0.425	2.0155352172900574e-109
TC1_vs_TC	TC1	TC	COPRS	4.224179693039471e-113	0.34400305715010415	0.481	0.166	9.23152230116846e-109
TC1_vs_TC	TC1	TC	ATP5F1B	9.49464153155909e-113	0.4845142733175154	0.912	0.684	2.0749589603069234e-108
TC1_vs_TC	TC1	TC	CMSS1	3.8180991358769157e-112	0.36184474142978174	0.503	0.185	8.344073851545412e-108
TC1_vs_TC	TC1	TC	GLO1	1.4462083947901932e-111	0.4002675548233493	0.679	0.334	3.160543825974488e-107
TC1_vs_TC	TC1	TC	CKS1B	4.6022109369509715e-111	0.29027859716375193	0.385	0.105	1.0057671781612652e-106
TC1_vs_TC	TC1	TC	XRCC6	7.438100762082704e-111	0.4129254956031855	0.736	0.421	1.6255225405455542e-106
TC1_vs_TC	TC1	TC	LSM4	8.598516387390651e-111	0.44109879831634624	0.691	0.373	1.8791197713003528e-106
TC1_vs_TC	TC1	TC	NAA50	1.3657683465032164e-110	0.3973324181275336	0.637	0.309	2.984750144448129e-106
TC1_vs_TC	TC1	TC	NDUFS6	3.60919241443569e-110	0.44139029063443347	0.868	0.618	7.887529102507757e-106
TC1_vs_TC	TC1	TC	MRPL51	6.106928089115342e-110	0.48469903706195505	0.745	0.44	1.334608064595267e-105
TC1_vs_TC	TC1	TC	COX7B	8.377756723469745e-110	0.4997365503432625	0.916	0.696	1.8308749543470782e-105
TC1_vs_TC	TC1	TC	PRDX3	1.9950098198101452e-109	0.3843036185496743	0.684	0.352	4.359894460213092e-105
TC1_vs_TC	TC1	TC	CKAP4	2.8951554314668113e-109	0.38016503008278896	0.574	0.241	6.327072679927569e-105
TC1_vs_TC	TC1	TC	SRSF2	1.1799039741222817e-108	0.44811076108059267	0.83	0.548	2.5785621450468344e-104
TC1_vs_TC	TC1	TC	DUT	1.0497465650135534e-107	0.432922983884988	0.592	0.272	2.2941161431806193e-103
TC1_vs_TC	TC1	TC	LIG1	1.2378599835080657e-107	0.25063895563202676	0.326	0.075	2.7052192079585265e-103
TC1_vs_TC	TC1	TC	RPL35	1.841863741808818e-107	0.46802626166715244	0.997	0.965	4.0252090213489904e-103
TC1_vs_TC	TC1	TC	TFAM	2.5008211604325115e-107	0.35057511676576397	0.564	0.243	5.465294564009211e-103
TC1_vs_TC	TC1	TC	SAPCD2	7.78246956030214e-107	0.29265417328938	0.398	0.118	1.7007808977084298e-102
TC1_vs_TC	TC1	TC	RPL23	8.348518396652569e-106	0.46734371601545854	0.98	0.857	1.8244852104044526e-101
TC1_vs_TC	TC1	TC	PTGES3	1.7869188036751443e-105	0.4715010035303242	0.893	0.647	3.90513235355166e-101
TC1_vs_TC	TC1	TC	UQCRQ	2.2490587957271397e-105	0.44146492658475256	0.893	0.64	4.915093092182091e-101
TC1_vs_TC	TC1	TC	SUZ12	2.7715246573592986e-105	0.35743781954861836	0.583	0.26	6.056889986193011e-101
TC1_vs_TC	TC1	TC	SIVA1	3.918320442990775e-105	0.34307389061767457	0.471	0.173	8.563097496112039e-101
TC1_vs_TC	TC1	TC	CENPM	4.458040095411403e-105	0.2604532311929132	0.29	0.059	9.74260082451208e-101
TC1_vs_TC	TC1	TC	CYC1	2.639391365533355e-104	0.4163924355903561	0.825	0.535	5.768125890236594e-100
TC1_vs_TC	TC1	TC	RBM3	6.656177245768687e-104	0.42206475391264564	0.896	0.639	1.454640975290289e-99
TC1_vs_TC	TC1	TC	TMEM106C	7.79811586329103e-104	0.39962221816557625	0.621	0.309	1.7042002407636219e-99
TC1_vs_TC	TC1	TC	CYCS	1.8736088458696941e-103	0.45127694244391736	0.859	0.598	4.094584771763629e-99
TC1_vs_TC	TC1	TC	CCT4	3.447372225360299e-103	0.4098907365091927	0.784	0.465	7.533887261302398e-99
TC1_vs_TC	TC1	TC	IDH2	3.6113986529308987e-103	0.382540960700602	0.679	0.343	7.892350616115185e-99
TC1_vs_TC	TC1	TC	SLC25A39	4.91571983816683e-103	0.3632429319647753	0.656	0.338	1.0742814134329792e-98
TC1_vs_TC	TC1	TC	USP1	5.786970292237091e-103	0.32038678794430464	0.45	0.158	1.264684487665494e-98
TC1_vs_TC	TC1	TC	ATP5MPL	8.251711498289938e-103	0.4203958176381801	0.888	0.655	1.803329030836283e-98
TC1_vs_TC	TC1	TC	KPNB1	8.802563586559167e-103	0.34829113984166526	0.558	0.242	1.9237122462066403e-98
TC1_vs_TC	TC1	TC	HIST1H1B	6.827849174277589e-102	0.2713596208450842	0.238	0.037	1.4921581585466244e-97
TC1_vs_TC	TC1	TC	NDUFAB1	2.5166439908701517e-101	0.43741285694035315	0.801	0.49	5.49987377764763e-97
TC1_vs_TC	TC1	TC	RFC2	8.80404776243798e-101	0.25940430895627853	0.327	0.081	1.924036598003196e-96
TC1_vs_TC	TC1	TC	TRAP1	8.8290538687183e-101	0.4074942091662436	0.686	0.382	1.929501432469697e-96
TC1_vs_TC	TC1	TC	MT1G	1.4365511775922035e-100	0.5141085861387524	0.457	0.162	3.1394389435100016e-96
TC1_vs_TC	TC1	TC	CTNNAL1	8.768943926392241e-100	0.26241921718764294	0.363	0.101	1.9163650056737603e-95
