cell_type_imm_custom	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
CD8+ T 1	RPS23	8.627066772741102e-38	-0.2255694594685922	0.979	0.978	1.8853591725148404e-33
CD8+ T 1	HSPA1B	1.1569035790852068e-37	0.4167552626955957	0.606	0.416	2.5282970817328107e-33
CD8+ T 1	ZNF331	1.0190470942526688e-36	-0.37312797514856677	0.536	0.658	2.2270255197797825e-32
CD8+ T 1	HLA-DRA	1.0519016916709993e-36	0.35845503538675516	0.261	0.115	2.2988259569778019e-32
CD8+ T 1	GZMH	2.963789189592168e-36	0.40559075333506084	0.375	0.225	6.477064894934724e-32
CD8+ T 1	RPS5	4.906563867828991e-35	-0.19811003958869033	0.988	0.978	1.0722804676753478e-30
CD8+ T 1	RPS21	1.892825893505292e-34	-0.19687171466277498	0.95	0.985	4.136581707666465e-30
CD8+ T 1	NR4A2	2.7202828581674015e-34	-0.30070544857342196	0.694	0.822	5.9449061582390394e-30
CD8+ T 1	RPL6	1.0704827912896492e-33	-0.221856245099727	0.99	0.979	2.3394330920843994e-29
CD8+ T 1	HSPD1	3.298019606538619e-33	0.5234100131592359	0.619	0.468	7.207492048129498e-29
CD8+ T 1	IGKC	4.306845867751141e-33	-1.5837054235515597	0.857	0.757	9.412180959383343e-29
CD8+ T 1	PDE4A	1.571409317314872e-32	-0.19130987714551984	0.15	0.288	3.4341579220599217e-28
CD8+ T 1	CACYBP	2.7553016246361765e-32	0.4488891037360625	0.411	0.277	6.0214361704799e-28
CD8+ T 1	RPL23	1.6811712922065107e-30	-0.23277540000553465	0.899	0.893	3.6740317419881085e-26
CD8+ T 1	TXNIP	1.818034048755549e-30	-0.2610992581632239	0.731	0.833	3.973131610150377e-26
CD8+ T 1	PHGR1	4.39629977774197e-30	-0.6536983859378936	0.282	0.414	9.607673534277301e-26
CD8+ T 1	HOPX	5.450475046872656e-30	-0.2977388400983535	0.395	0.535	1.1911468167435503e-25
CD8+ T 1	ZFP36L2	6.0384263251469516e-30	-0.25754768166353603	0.946	0.969	1.319637689097615e-25
CD8+ T 1	SPRY1	1.751245093653381e-29	-0.26778310846914305	0.159	0.289	3.827171027670099e-25
CD8+ T 1	RPL10A	1.9308633254025718e-29	-0.18775708142199576	0.989	0.983	4.2197087113347805e-25
CD8+ T 1	RHOC	6.061916649220151e-29	-0.18961413041399056	0.174	0.304	1.3247712645205717e-24
CD8+ T 1	PDCD4	9.060413043854161e-29	-0.2443864084505456	0.635	0.749	1.980062666603888e-24
CD8+ T 1	RPS14	1.2260179452536545e-28	-0.16942463201446278	0.999	0.997	2.6793396175573365e-24
CD8+ T 1	TMSB4X	3.0662355300373844e-28	-0.20308911099768068	1	0.999	6.7009511273437e-24
CD8+ T 1	HSP90AA1	1.4007715451798804e-27	0.426007987939371	0.983	0.965	3.0612461348361105e-23
CD8+ T 1	EEF1A1	2.3735934273423297e-27	-0.3453141244331819	0.739	0.779	5.187251076113927e-23
CD8+ T 1	SMIM3	1.813111088410013e-26	-0.11028044911210819	0.068	0.16	3.962372972611242e-22
CD8+ T 1	RPS4X	5.455887452077554e-26	-0.22168772459875363	0.992	0.987	1.1923296437770287e-21
CD8+ T 1	PTGER4	1.1565517920158372e-25	-0.2566038352895762	0.324	0.451	2.527528286271411e-21
CD8+ T 1	LDHA	1.477766704548759e-25	0.22999516217848315	0.679	0.541	3.2295113561208578e-21
CD8+ T 1	ACTB	1.8113355032128975e-25	-0.18227884166116892	0.996	0.991	3.9584926087214664e-21
CD8+ T 1	RPL3	1.8824159920400707e-25	-0.1771231796499304	0.999	0.998	4.113831909004371e-21
CD8+ T 1	UBASH3B	2.1809372079487164e-25	-0.09566028003601085	0.059	0.144	4.766220174251125e-21
CD8+ T 1	HCST	2.209571645658352e-25	-0.18542319383490358	0.784	0.868	4.828797874421762e-21
CD8+ T 1	DUSP4	3.4325732984932127e-25	0.3337139819864716	0.44	0.319	7.501545686527067e-21
CD8+ T 1	RPS10	3.548928009056047e-25	-0.2202020731925729	0.768	0.815	7.755827270991085e-21
CD8+ T 1	RPS7	5.622079354395342e-25	-0.1676898166040961	0.997	0.994	1.2286492221095582e-20
CD8+ T 1	FOS	1.0348493873603107e-24	-0.2736582304886066	0.82	0.867	2.261559851137223e-20
CD8+ T 1	HLA-DPB1	1.1337559189634439e-24	0.2796206882605529	0.414	0.291	2.4777101853027102e-20
CD8+ T 1	ISG15	2.0489452470355072e-24	-0.38673445561040354	0.414	0.532	4.477764942871398e-20
CD8+ T 1	RPL19	2.2010850823649457e-24	-0.16921758343345283	0.998	0.995	4.8102513390003524e-20
CD8+ T 1	RPS18	2.504137488652665e-24	-0.23819353398585497	0.998	0.997	5.472542067701534e-20
CD8+ T 1	HSP90AB1	5.184495512918634e-24	0.3717614713730537	0.96	0.939	1.1330196493932384e-19
CD8+ T 1	XCL2	1.0479171606472384e-23	-0.48471583936741647	0.234	0.359	2.2901181628784747e-19
CD8+ T 1	RPL31	2.2962251321013598e-23	-0.20348917108972153	0.819	0.862	5.018170403694311e-19
CD8+ T 1	S100A11	2.8898769816799996e-23	0.1892404908809946	0.61	0.439	6.315537155763471e-19
CD8+ T 1	RPL36	2.916186174304124e-23	-0.14938204295181112	0.99	0.988	6.373033265324233e-19
CD8+ T 1	ANXA1	4.302141618003579e-23	0.41472863154129325	0.597	0.511	9.401900291985022e-19
CD8+ T 1	CD7	4.955104529677403e-23	-0.34796201904632773	0.584	0.664	1.0828885439156996e-18
CD8+ T 1	HES4	8.990992806413258e-23	-0.15790351993241153	0.065	0.146	1.964891567913553e-18
CD8+ T 1	CTLA4	3.7743410943971954e-22	0.17457373758457928	0.129	0.045	8.24844502769563e-18
CD8+ T 1	PPDPF	4.035338824471842e-22	-0.22707266359856382	0.672	0.716	8.818829467000763e-18
CD8+ T 1	RPL37	5.516060296455647e-22	-0.15769418252585954	0.998	0.996	1.2054798171874171e-17
CD8+ T 1	RPL28	8.957667718595025e-22	-0.13291576356868395	0.998	0.997	1.9576087032217567e-17
CD8+ T 1	CCL4	3.450159387240462e-21	-0.4417011118010561	0.727	0.789	7.539978324875306e-17
CD8+ T 1	RPL7A	3.74099480094335e-21	-0.17924309363763768	0.997	0.989	8.175570037981596e-17
CD8+ T 1	RPL35A	3.9730208969288025e-21	-0.1415177220440733	0.996	0.991	8.682639868148205e-17
CD8+ T 1	RPS27	5.708083785402731e-21	-0.11733141652507673	0.999	0.998	1.2474446304619128e-16
CD8+ T 1	HLA-DRB1	6.033001592497313e-21	0.272286734286536	0.27	0.164	1.3184521680243627e-16
CD8+ T 1	RPS15A	7.403362599789919e-21	-0.13642727748095762	0.999	0.997	1.6179308625580887e-16
CD8+ T 1	RPS19	1.894757253474501e-20	-0.19159570212297394	1	0.999	4.1408025017431747e-16
CD8+ T 1	TRDC	2.3721568307467942e-20	-0.3152895070718247	0.163	0.264	5.184111537914044e-16
CD8+ T 1	CEMIP2	5.0014002868217026e-20	-0.2493598342860298	0.421	0.528	1.0930060186820149e-15
CD8+ T 1	RPL4	5.888294243170334e-20	-0.2525913749894677	0.824	0.813	1.2868278239024449e-15
CD8+ T 1	CD3E	4.0825560980274905e-19	-0.1692137203857942	0.714	0.799	8.922018096629277e-15
CD8+ T 1	KLRB1	5.107921736436284e-19	-0.3387950666662769	0.358	0.468	1.1162852162807855e-14
CD8+ T 1	RPL13	5.140490267387624e-19	-0.12759033313608725	0.999	0.997	1.1234027430348914e-14
CD8+ T 1	SCML4	5.859196633820119e-19	-0.13334646044871043	0.15	0.25	1.2804688323550488e-14
CD8+ T 1	CD48	6.59432738917204e-19	-0.19818951431305898	0.649	0.715	1.4411243076296578e-14
CD8+ T 1	XCL1	7.056681864667206e-19	-0.4845117306458868	0.158	0.256	1.542167254704371e-14
CD8+ T 1	MTRNR2L12	7.282208492889983e-19	-0.11500033273684437	0.053	0.118	1.5914538440361767e-14
CD8+ T 1	GFOD1	7.385619874199379e-19	-0.10000657539976557	0.088	0.171	1.6140533673075322e-14
CD8+ T 1	RPL14	1.458759846601939e-18	-0.15343374128412313	0.989	0.983	3.1879737687638776e-14
CD8+ T 1	HSPA6	1.8800792035578856e-18	0.5534679959594115	0.111	0.041	4.1087250914554034e-14
CD8+ T 1	LGALS3	2.5357238222870813e-18	0.09066367577277734	0.466	0.329	5.541570841226188e-14
CD8+ T 1	MT1E	2.8770608735598407e-18	-0.11625968248280769	0.053	0.119	6.287528833077676e-14
CD8+ T 1	PFN1	5.066780383140118e-18	-0.19017334515426176	0.858	0.882	1.1072941849314413e-13
CD8+ T 1	DNAJB1	7.500880239956843e-18	0.5156259487816701	0.788	0.724	1.6392423676401685e-13
CD8+ T 1	RACK1	9.726923251423011e-18	-0.20010759233409803	0.806	0.81	2.1257218073659849e-13
CD8+ T 1	NR4A3	1.4467445696244637e-17	-0.2045211886419569	0.294	0.405	3.161715582457303e-13
CD8+ T 1	TXK	4.069077719710916e-17	-0.13643451992299507	0.111	0.197	8.892562448656236e-13
CD8+ T 1	RPS2	6.716668598388286e-17	-0.1768597156792624	1	0.997	1.467860755491776e-12
CD8+ T 1	AREG	1.143852149803375e-16	-0.5744927243496314	0.334	0.425	2.4997744881802956e-12
CD8+ T 1	GYPC	1.4226312348702962e-16	-0.161016146864693	0.358	0.467	3.109018300685545e-12
CD8+ T 1	ZFAS1	3.096085666286162e-16	-0.15693974349493778	0.459	0.576	6.766185615101778e-12
CD8+ T 1	APOBR	4.170528210149456e-16	-0.08261200898594974	0.056	0.118	9.11427235046062e-12
CD8+ T 1	IER3	4.894725618428486e-16	0.18736935108349956	0.307	0.201	1.0696933366513612e-11
CD8+ T 1	PLAC8	8.856846551326241e-16	-0.1576778236823661	0.115	0.195	1.9355752453268365e-11
CD8+ T 1	FTH1	1.0689594379090978e-15	-0.25454792820045036	0.656	0.699	2.3361039556065423e-11
CD8+ T 1	ATP5MC2	2.6149328239103125e-15	-0.16501086282711197	0.37	0.471	5.714674193373597e-11
CD8+ T 1	HSPB1	2.679897027128368e-15	0.27909053526299255	0.263	0.174	5.856646963086336e-11
CD8+ T 1	RPL12	3.22120746162034e-15	-0.12759377969216334	0.998	0.995	7.03962678662509e-11
CD8+ T 1	FAM3C	4.188627926607477e-15	-0.07343350819876172	0.061	0.123	9.15382747080798e-11
CD8+ T 1	TIPARP	4.439268569013755e-15	-0.19498502138324225	0.32	0.418	9.70157753072266e-11
CD8+ T 1	HLA-DPA1	4.936745883299951e-15	0.24257910596649612	0.38	0.297	1.0788764453363713e-10
CD8+ T 1	JUN	5.024343063275828e-15	0.17553067983721293	0.899	0.783	1.0980199330482994e-10
CD8+ T 1	PRMT9	5.0579780994951595e-15	-0.1351664858373996	0.23	0.332	1.1053705338636722e-10
CD8+ T 1	GNLY	6.8348067225630195e-15	0.2355815398776453	0.329	0.219	1.4936786611489223e-10
CD8+ T 1	RPS8	1.4019551477216836e-14	-0.14502356711666486	0.994	0.985	3.0638327798309674e-10
CD8+ T 1	CITED2	1.4586831905031355e-14	-0.1867018684121653	0.349	0.453	3.187806244525552e-10
CD8+ T 1	FOSL2	1.516876340772428e-14	-0.18637507373786866	0.405	0.492	3.314981555124064e-10
CD8+ T 1	LAYN	1.521144774356019e-14	-0.0897294152707683	0.072	0.136	3.324309789877644e-10
CD8+ T 1	MAP3K8	1.6897485389517172e-14	-0.1387172219663284	0.18	0.27	3.6927764570250826e-10
CD8+ T 1	ARID5B	1.718666104656139e-14	0.17924072472202535	0.318	0.218	3.7559729051155263e-10
CD8+ T 1	FKBP2	2.2432112321852817e-14	-0.14730952967281807	0.258	0.354	4.902313826817715e-10
CD8+ T 1	IFI6	2.365895795282189e-14	-0.15955665019600357	0.127	0.205	5.170428671009696e-10
CD8+ T 1	LIMS1	2.9164990089687713e-14	-0.1569501893372316	0.235	0.334	6.373716934200352e-10
CD8+ T 1	YME1L1	3.645861443796797e-14	-0.17414781760899123	0.373	0.472	7.96766559927352e-10
CD8+ T 1	SLFN5	4.181469277279807e-14	-0.17959652026023476	0.338	0.432	9.138182958567291e-10
CD8+ T 1	MYL12A	5.883089104922145e-14	-0.14329780074648402	0.859	0.882	1.2856902929896855e-9
CD8+ T 1	S100A4	6.236068408394534e-14	0.21923636583462147	0.75	0.661	1.3628303899705414e-9
CD8+ T 1	SKIL	7.670745831495311e-14	0.14647852631798047	0.276	0.187	1.6763647940149852e-9
CD8+ T 1	RNF139	7.989998335207854e-14	-0.16106267583850503	0.27	0.363	1.7461342361763244e-9
CD8+ T 1	GPR65	1.181029675848144e-13	-0.1571844307784276	0.39	0.503	2.5810222535985336e-9
CD8+ T 1	ISG20	1.2254804849128704e-13	-0.25478329405849887	0.457	0.54	2.6781650517285868e-9
CD8+ T 1	BAG3	1.8136237219428705e-13	0.19568692654807968	0.16	0.092	3.963493281933949e-9
CD8+ T 1	RPL24	2.3273797228064567e-13	-0.11994014660193475	0.989	0.987	5.08625564622123e-9
CD8+ T 1	RAC2	2.8935937996722946e-13	-0.1460097247488693	0.553	0.638	6.323659889803833e-9
CD8+ T 1	ID3	6.562486194500046e-13	-0.11245026936707192	0.137	0.213	1.43416573294604e-8
CD8+ T 1	RPS24	6.883055773378315e-13	-0.1084074614193189	0.997	0.993	1.504223008714097e-8
CD8+ T 1	PTGER2	7.745620224026134e-13	-0.07272681094806471	0.122	0.201	1.6927278437586713e-8
CD8+ T 1	CD82	7.767546517310704e-13	0.09259312590886065	0.102	0.045	1.697519615893081e-8
CD8+ T 1	AL627171.1	8.419856914159723e-13	-0.09309845932536419	0.063	0.12	1.8400755300204658e-8
CD8+ T 1	ATP1B3	1.0009519622407548e-12	-0.24326860939360284	0.493	0.554	2.1874804182809456e-8
CD8+ T 1	B2M	1.1115448563060258e-12	-0.12888704344549873	0.67	0.753	2.4291701289711887e-8
CD8+ T 1	CHORDC1	1.742629913284161e-12	0.181404232631662	0.282	0.206	3.808343412491205e-8
CD8+ T 1	OTULIN	1.7876478336284215e-12	0.14073699252522393	0.206	0.135	3.906725575611552e-8
CD8+ T 1	MZB1	1.812754673293547e-12	-0.10541442994905645	0.085	0.147	3.961594063015718e-8
CD8+ T 1	ARL5B	2.2490245232562744e-12	-0.1512532777507466	0.161	0.238	4.915018193124262e-8
CD8+ T 1	CRYBG1	2.878975411907936e-12	-0.1435393515409707	0.282	0.368	6.291712865183603e-8
CD8+ T 1	FKBP11	3.956606608612518e-12	-0.12493672693737384	0.165	0.242	8.646768082461797e-8
CD8+ T 1	YES1	4.579879972003061e-12	-0.071330179449869	0.066	0.121	1.000886969081549e-7
CD8+ T 1	METTL9	5.138761047231714e-12	-0.10405780567778894	0.23	0.319	1.1230248392620187e-7
CD8+ T 1	HNRNPH1	5.979457125513717e-12	-0.1573897139245356	0.595	0.664	1.3067505602097679e-7
CD8+ T 1	NEAT1	9.12078604505367e-12	0.1342205711553599	0.987	0.941	1.993256582286029e-7
CD8+ T 1	EIF3L	1.0189981840038152e-11	-0.12406020978188759	0.232	0.316	2.2269186313219378e-7
CD8+ T 1	DUSP5	1.1658383481277958e-11	-0.23838721729331513	0.288	0.364	2.547823125998485e-7
CD8+ T 1	RBPJ	1.2578879019408707e-11	0.22661933368844622	0.278	0.21	2.748988220901579e-7
CD8+ T 1	SMAD7	1.3893458936647014e-11	0.11874965597844456	0.201	0.13	3.0362765160148384e-7
CD8+ T 1	DYNLL1	1.4527528997392593e-11	0.14158651990050086	0.844	0.762	3.1748461870901775e-7
CD8+ T 1	CLDN4	1.6588419268882367e-11	-0.09496217280644263	0.066	0.12	3.6252331470215526e-7
CD8+ T 1	HLA-A	2.5912148256384683e-11	0.08244103710028172	0.997	0.989	5.662840879950308e-7
CD8+ T 1	DNAJA4	2.9516735215028335e-11	0.15720409595358303	0.134	0.076	6.450587313892292e-7
CD8+ T 1	BHLHE40	3.181204621881818e-11	0.13457536947794616	0.198	0.129	6.952204580660525e-7
CD8+ T 1	IFITM1	3.22645105461683e-11	-0.05168751416620136	0.069	0.124	7.05108613475962e-7
CD8+ T 1	NFIL3	3.2613202244874844e-11	-0.0871713611146232	0.099	0.162	7.127289218594949e-7
CD8+ T 1	VASP	3.416993684006389e-11	-0.11673165863256213	0.219	0.299	7.467497997027562e-7
CD8+ T 1	AC104695.3	3.438336274346725e-11	-0.07470027353749237	0.113	0.181	7.514140093957333e-7
CD8+ T 1	CD2	3.923941756132592e-11	0.14896295867877263	0.73	0.666	8.575382313852166e-7
CD8+ T 1	SPOCK2	4.2059896951456777e-11	0.1704362226262925	0.355	0.284	9.191769879771364e-7
CD8+ T 1	RPL22	4.2403754826618116e-11	-0.13145418793094543	0.561	0.628	9.266916579809123e-7
CD8+ T 1	CLDN3	5.058937490137426e-11	-0.10235889714927811	0.059	0.109	1.105580199094633e-6
CD8+ T 1	JUND	5.203169196952744e-11	0.07922243365381254	0.981	0.94	1.1371005963020527e-6
CD8+ T 1	CORO1A	5.835877040893424e-11	-0.13084864765310644	0.46	0.55	1.275372568516849e-6
CD8+ T 1	OSTF1	6.697039888699106e-11	-0.12511109302282758	0.313	0.402	1.4635710972763025e-6
CD8+ T 1	CKLF	9.744055212479891e-11	-0.12350065511004138	0.384	0.479	2.1294658261353555e-6
CD8+ T 1	SRGN	1.1149314546774319e-10	-0.15645611808662307	0.985	0.972	2.4365712010520596e-6
CD8+ T 1	PTMA	1.173537542603413e-10	-0.11488606180691541	0.995	0.987	2.5646489456054985e-6
CD8+ T 1	ASB2	1.2128559099350438e-10	-0.04511717226071352	0.064	0.115	2.6505753055720447e-6
CD8+ T 1	PPP1R10	1.280003392045543e-10	-0.15711316414778387	0.465	0.542	2.7973194129763296e-6
CD8+ T 1	HIST1H4C	1.3128762418334845e-10	-0.15169405312829154	0.378	0.47	2.869159738902897e-6
CD8+ T 1	HSPE1	1.663957763861038e-10	0.27257803675938275	0.548	0.496	3.6364132971419126e-6
CD8+ T 1	ATP5MC1	1.7544375164151754e-10	-0.09363762758989541	0.183	0.256	3.834147748373724e-6
CD8+ T 1	ITM2C	1.7551998820598384e-10	-0.12253282915216668	0.407	0.495	3.8358138222535705e-6
CD8+ T 1	RASGEF1B	1.9538631601117426e-10	-0.10955938436127105	0.191	0.268	4.269972550108202e-6
CD8+ T 1	LTB	2.089445526619672e-10	-0.050814383054683665	0.273	0.364	4.566274253874631e-6
CD8+ T 1	HEXIM1	2.1440629337835444e-10	-0.14657245910024153	0.384	0.466	4.685635135490558e-6
CD8+ T 1	CD44	2.2857347011006289e-10	0.17717840533972218	0.507	0.454	4.9952446157853145e-6
CD8+ T 1	RPL39	3.0321138006508725e-10	-0.10127467377570154	0.55	0.637	6.626381499942417e-6
CD8+ T 1	MAPK1	3.1235778253941665e-10	-0.10798412916457628	0.209	0.286	6.826266979616411e-6
CD8+ T 1	ITGA1	3.2370801786069606e-10	-0.1838229520458594	0.313	0.388	7.074315022327652e-6
CD8+ T 1	VAMP8	3.4152741912545316e-10	-0.13959221521897713	0.411	0.48	7.463740217567653e-6
CD8+ T 1	CAPG	3.526641665843109e-10	-0.09072196083764672	0.128	0.194	7.70712269653353e-6
CD8+ T 1	LGALS4	3.581411418631321e-10	-0.18175195465511715	0.146	0.21	7.826816514276889e-6
CD8+ T 1	RPL36A	3.587859412891792e-10	-0.11647897617268932	0.343	0.429	7.840907960933722e-6
CD8+ T 1	HIC1	3.6475123610499825e-10	-0.09115382190376303	0.124	0.189	7.971273513838631e-6
CD8+ T 1	MSH3	3.6489487575488557e-10	-0.08217914336021731	0.154	0.227	7.974412614747269e-6
CD8+ T 1	RPS25	3.797969950432448e-10	-0.11056114413521989	0.693	0.759	8.300083529675073e-6
CD8+ T 1	PITPNC1	3.912641330198732e-10	-0.08170538726107929	0.201	0.282	8.55068636301631e-6
CD8+ T 1	SOCS1	3.9624018606913287e-10	-0.13321433387125725	0.387	0.472	8.65943302635483e-6
CD8+ T 1	S100A6	5.136224689339028e-10	0.059861266896946264	0.896	0.786	1.1224705436081513e-5
CD8+ T 1	MATK	5.383847550338594e-10	-0.09544239206313049	0.211	0.292	1.1765860436509965e-5
CD8+ T 1	ITGB7	6.50091323639925e-10	-0.0874187452021683	0.152	0.219	1.420709578682692e-5
CD8+ T 1	PTPN6	7.055494279077327e-10	-0.07324269915801698	0.146	0.216	1.541907719749559e-5
CD8+ T 1	KLRD1	8.531005157238068e-10	-0.17487590653281515	0.375	0.457	1.8643658670628074e-5
CD8+ T 1	F2R	1.2144935010648404e-9	0.0849438118206616	0.142	0.086	2.6541540972271023e-5
CD8+ T 1	NACA	1.674986572504706e-9	-0.10737506819569864	0.983	0.953	3.6605156555517844e-5
CD8+ T 1	EIF3E	1.8262074082528038e-9	-0.1342329856335176	0.478	0.538	3.9909936699956776e-5
CD8+ T 1	FOSB	1.9289518862433725e-9	-0.19991544403477501	0.867	0.832	4.215531452196266e-5
CD8+ T 1	TYROBP	2.0640373372690884e-9	-0.1837099638201808	0.147	0.209	4.510747196867866e-5
CD8+ T 1	FXYD3	2.1009786832441654e-9	-0.18339531550235696	0.089	0.14	4.591478814361799e-5
CD8+ T 1	HSPA8	2.2200786647253076e-9	0.09990629767650305	0.862	0.799	4.851759913890687e-5
CD8+ T 1	SKAP2	2.387058838706146e-9	-0.07504696507657316	0.099	0.155	5.2166783861084116e-5
CD8+ T 1	CAMK2N1	2.6165263920149215e-9	-0.05976803358934943	0.056	0.101	5.71815677710941e-5
CD8+ T 1	DOCK10	2.8374312453172567e-9	-0.07726732463778219	0.225	0.307	6.200922243516333e-5
CD8+ T 1	RASA2	3.1854686188526606e-9	-0.1075263663054487	0.296	0.376	6.961523119640604e-5
CD8+ T 1	BST2	4.286653189460215e-9	-0.16890248576292866	0.316	0.389	9.368051880246354e-5
CD8+ T 1	ECI2	5.219981166647602e-9	-0.1010314190384001	0.139	0.199	1.1407746841591669e-4
CD8+ T 1	TFDP2	5.7652470663641025e-9	-0.11343283471821386	0.137	0.197	1.259937093883211e-4
CD8+ T 1	UBE2S	5.7951461215858705e-9	-0.1928418509483223	0.492	0.565	1.2664712334113762e-4
CD8+ T 1	GZMA	5.881044760617113e-9	-0.43631387776614927	0.784	0.819	1.285243521985264e-4
CD8+ T 1	YPEL1	7.040022058251468e-9	-0.04772664199651998	0.065	0.111	1.5385264206102759e-4
CD8+ T 1	BTF3	7.710452803221675e-9	-0.12997059789257115	0.813	0.818	1.6850423556160647e-4
CD8+ T 1	BSG	9.259520843245505e-9	-0.1159953083369582	0.251	0.319	2.0235756850828725e-4
CD8+ T 1	CCL5	9.30827454539885e-9	-0.14192165564835513	0.955	0.961	2.0342303191514646e-4
CD8+ T 1	GLUL	1.0425744993262152e-8	0.12792663574199387	0.14	0.087	2.2784423108275107e-4
CD8+ T 1	SRM	1.050663567004256e-8	-0.0657985671254328	0.115	0.172	2.296120159331101e-4
CD8+ T 1	GPSM3	1.1459045466934004e-8	-0.09467502091195784	0.333	0.415	2.504259796343757e-4
CD8+ T 1	DUSP2	1.1907431278899771e-8	-0.12557126315909484	0.746	0.81	2.602250031690756e-4
CD8+ T 1	GRK6	1.4302289633431642e-8	-0.06249377642354709	0.135	0.196	3.125622376490151e-4
CD8+ T 1	NUCB2	1.7785095605133884e-8	-0.11259504666852149	0.239	0.307	3.886754793545959e-4
CD8+ T 1	TSC22D3	2.394231531826658e-8	-0.15014938986673365	0.851	0.866	5.232353589653978e-4
CD8+ T 1	APOBEC3G	2.959099025839918e-8	0.1333846336198753	0.374	0.317	6.466815011070557e-4
CD8+ T 1	SPCS1	3.114661466487036e-8	-0.1145829868955407	0.458	0.521	6.806781168860769e-4
CD8+ T 1	CD74	3.4015783702014645e-8	0.15343490918508962	0.531	0.465	7.433809370238281e-4
CD8+ T 1	SLC12A6	3.5123288834049145e-8	-0.04789186232404	0.073	0.119	7.6758435417931e-4
CD8+ T 1	CCDC69	3.658062985956512e-8	-0.07825487272134576	0.155	0.217	7.994330849509362e-4
CD8+ T 1	CCDC85B	3.8366408683987183e-8	-0.1004880292255379	0.351	0.43	8.384594953798559e-4
CD8+ T 1	LINC00513	4.187239754966475e-8	0.08595042201380926	0.277	0.211	9.150793760503734e-4
CD8+ T 1	TNFAIP3	4.9226618192028085e-8	0.06433941556372624	0.815	0.74	0.0010757985139685819
CD8+ T 1	SLC16A7	5.455296705555666e-8	-0.053606353392511574	0.124	0.182	0.0011922005420321351
CD8+ T 1	ID2	5.9300151304887736e-8	-0.15530024457964808	0.723	0.759	0.0012959455066170165
CD8+ T 1	PEPD	6.129071751858097e-8	-0.045986339273889815	0.075	0.12	0.0013394473406510687
