cell_type_epi	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Stem	SPINK1	0	0.698511080370846	0.833	0.387	0
Stem	MT1E	1.8718519156062597e-224	0.6967038022516903	0.883	0.569	4.09074517636592e-220
Stem	RPL37	1.1059028724695203e-279	0.6942430912150521	0.988	0.874	2.4168401374948895e-275
Stem	RPS20	3.020817456057162e-299	0.6935909782808176	0.949	0.68	6.601694468467322e-295
Stem	RPL30	0	0.6853431965915813	0.96	0.728	0
Stem	ADH1C	0	0.6848530305826601	0.625	0.102	0
Stem	RPL28	1.830523797054255e-303	0.6815556732196697	0.99	0.886	4.0004267060823687e-299
Stem	AGR3	0	0.6789201948981605	0.855	0.405	0
Stem	RPL12	9.403969008709309e-285	0.6764577511461711	0.994	0.894	2.0551433871633324e-280
Stem	TSPO	0	0.6756971266638697	0.932	0.628	0
Stem	RPL27	0	0.6742850952557895	0.929	0.63	0
Stem	PRDX5	1.492006026707785e-245	0.6621157476074799	0.904	0.622	3.260629970767193e-241
Stem	RPS21	5.245753771134066e-278	0.657042735091024	0.964	0.746	1.1464070291436388e-273
Stem	ACTG1	0	0.6518243349519501	0.994	0.933	0
Stem	RPL13	8.476539778041905e-275	0.6505662295658468	0.992	0.84	1.8524630030932779e-270
Stem	PPP1R1B	0	0.649857950398929	0.802	0.305	0
Stem	MLEC	0	0.6422016500693337	0.815	0.325	0
Stem	RPL21	2.6727172201075197e-279	0.6330782321954889	0.968	0.752	5.840956212822974e-275
Stem	NXPE4	0	0.6315498202430888	0.729	0.293	0
Stem	EIF3E	0	0.6308128732877009	0.773	0.307	0
Stem	C1QBP	0	0.6257329322187155	0.675	0.214	0
Stem	RARRES2	0	0.6248212051251276	0.469	0.116	0
Stem	RPL4	4.89043169260964e-293	0.6143799317616772	0.87	0.484	1.0687549421029106e-288
Stem	PTMA	3.366326829407757e-269	0.6127974406297554	0.987	0.884	7.356770652987712e-265
Stem	HSPA1A	2.0093919024892714e-203	0.6115887905719539	0.812	0.52	4.391325063700054e-199
Stem	DBI	5.600728993019693e-285	0.6106686664986074	0.906	0.58	1.2239833141345238e-280
Stem	MGST3	0	0.6082572869615235	0.706	0.291	0
Stem	TMSB10	8.583791893668242e-281	0.6053191995510092	0.999	0.928	1.8759018804422576e-276
Stem	FTL	8.018509183338718e-272	0.6020121942671963	0.985	0.896	1.7523649969268432e-267
Stem	MT1X	5.040631261950041e-134	0.6018039093483117	0.67	0.384	1.1015795559865619e-129
Stem	FAM162A	6.305399653471857e-305	0.5914474924394592	0.845	0.459	1.3779820402697397e-300
Stem	CD9	3.057755575243744e-277	0.5888350180684176	0.943	0.708	6.682419034137678e-273
Stem	RPL31	6.143564399777295e-227	0.5887880444299494	0.93	0.674	1.34261456392733e-222
Stem	LGALS4	2.720073703741558e-195	0.5871844802963402	0.994	0.919	5.944449072156802e-191
Stem	RACK1	2.5260977485229423e-276	0.5857222641129762	0.945	0.656	5.520534019622038e-272
Stem	FAM3D	1.7649439892606536e-281	0.5777442992089041	0.961	0.734	3.8571085941302324e-277
Stem	NXPE1	0	0.5760484173898965	0.72	0.302	0
Stem	GAPDH	0	0.569863887380992	0.996	0.908	0
Stem	RPS4Y1	0	0.5671672270468864	0.49	0.146	0
Stem	MGST2	0	0.5608732009461938	0.737	0.273	0
Stem	PPIB	2.5054538975087433e-286	0.5517640593692782	0.831	0.446	5.475418947615608e-282
Stem	MAOA	0	0.5467434392891446	0.766	0.325	0
Stem	APP	2.573960879729499e-278	0.5419217989409884	0.87	0.512	5.625134106560847e-274
Stem	PPA1	0	0.541527840067721	0.816	0.374	0
Stem	ANXA2	1.5657381121821625e-244	0.540111360627797	0.924	0.629	3.421764070362898e-240
Stem	GSTP1	8.557426882787479e-283	0.5385048132119514	0.968	0.694	1.8701400709643757e-278
Stem	PABPC1	6.689782145761314e-233	0.5380929314889953	0.641	0.291	1.4619849901346777e-228
Stem	HSP90AB1	1.256990793865966e-241	0.535842492693664	0.945	0.679	2.747027680914682e-237
Stem	HSPE1	4.262939627589939e-296	0.5354434861795117	0.81	0.391	9.316228262135052e-292
Stem	S100A11	6.887861714645178e-284	0.5351553346587303	0.907	0.498	1.5052732991185572e-279
Stem	FOS	6.81139388861327e-120	0.5306501008412214	0.871	0.772	1.488562020417544e-115
Stem	EIF3L	0	0.5302634834530329	0.672	0.25	0
Stem	NDUFA4	1.885167413339039e-269	0.523480583336679	0.893	0.54	4.1198448651111364e-265
Stem	RPS10	9.298004168264252e-228	0.521988513403213	0.839	0.496	2.0319858309324695e-223
Stem	RPL36	7.737971354679735e-215	0.5209743172986236	0.992	0.907	1.6910562598517094e-210
Stem	LGALS3	2.751125054350786e-199	0.5190199521288981	0.99	0.907	6.0123086937782076e-195
Stem	PYCARD	0	0.5184579835726992	0.722	0.298	0
Stem	RPL39	2.0548035135089067e-258	0.5177292321355927	0.77	0.376	4.490567598422365e-254
Stem	IGFBP2	2.2494136027163722e-157	0.5175696498049691	0.583	0.293	4.915868487376359e-153
Stem	SLC25A5	7.489345679951365e-195	0.5161411542104979	0.891	0.661	1.6367216048965715e-190
Stem	AKR1C3	2.2854059105639647e-275	0.5147028318341351	0.656	0.274	4.994526076946489e-271
Stem	TOMM20	3.8787307758287495e-295	0.5108960239480529	0.736	0.328	8.476578237496149e-291
Stem	EIF3F	0	0.5105612894564299	0.695	0.256	0
Stem	S100A10	3.507272959353506e-226	0.5081690977504687	0.997	0.916	7.664794325371151e-222
Stem	EPCAM	8.93565239143475e-229	0.5061432734945717	0.981	0.823	1.9527974736241502e-224
Stem	ESD	0	0.5060103364138666	0.644	0.197	0
Stem	NPM1	9.246318091080016e-265	0.5009028872797927	0.748	0.345	2.0206903556246265e-260
Stem	LAPTM4A	2.372099034592132e-307	0.5001580430940302	0.72	0.311	5.183985230197645e-303
Stem	PFN1	4.812851060519279e-232	0.49792234601937513	0.939	0.682	1.0518004707658832e-227
Stem	SQOR	6.347934303264108e-292	0.49374413624482355	0.738	0.338	1.3872775626353382e-287
Stem	C15orf48	1.9602360528405548e-261	0.4900579972080234	0.629	0.264	4.283899869877748e-257
Stem	LIMA1	1.906506037562009e-241	0.48899955818523566	0.885	0.576	4.166478294488014e-237
Stem	ALDH2	2.2512213327609093e-225	0.48755283812318984	0.784	0.452	4.919819100615691e-221
Stem	FABP5	7.57735672977197e-271	0.48682636287924114	0.57	0.208	1.655955539724366e-266
Stem	ADD3	0	0.48652452684246406	0.723	0.293	0
Stem	ATP8B1	1.1459847947622136e-241	0.4850813626541166	0.828	0.491	2.5044351704733414e-237
Stem	PKP2	0	0.4841036953863319	0.687	0.274	0
Stem	PDIA3	2.7042527222636263e-243	0.4837127867628317	0.805	0.431	5.909873899234929e-239
Stem	RPL22	8.164835886589572e-223	0.4837119508291745	0.793	0.425	1.784343234655285e-218
Stem	RPS25	1.5216141755296476e-226	0.48213495641190696	0.788	0.428	3.325335619202492e-222
Stem	CFTR	0	0.4810269605939661	0.593	0.153	0
Stem	RARRES1	0	0.48070591099430005	0.604	0.21	0
Stem	RAB25	1.8890153049790853e-288	0.48008838037736956	0.756	0.355	4.128254047501293e-284
Stem	PI3	3.780735450126605e-34	0.4799972450696628	0.285	0.17	8.262419252706683e-30
Stem	PCK1	3.39324778373318e-109	0.47691845912883457	0.757	0.517	7.415603706570492e-105
Stem	HMGN1	3.190791153639331e-263	0.4765689672823598	0.756	0.367	6.973154987163395e-259
Stem	HSPD1	5.212139147328505e-253	0.47587650448127816	0.823	0.413	1.1390608892571716e-248
Stem	SLC12A2	2.35279240587631e-162	0.4744930827800524	0.736	0.401	5.141792523802088e-158
Stem	CYB5A	9.7583424800915e-271	0.46823810480785416	0.722	0.34	2.1325881655991964e-266
Stem	EEF1A1	1.983879554854349e-214	0.46561247049327426	0.88	0.559	4.3355703791786943e-210
Stem	SULT1B1	1.193942297443456e-241	0.45855843213402414	0.661	0.292	2.6092414968329286e-237
Stem	DSTN	4.722555628311232e-232	0.4536149610397282	0.928	0.653	1.0320673070111366e-227
Stem	CD99	1.271190022246674e-282	0.45001483461827585	0.589	0.219	2.7780586746178816e-278
Stem	C10orf99	5.18154314899898e-156	0.4438195071528922	0.82	0.521	1.1323744397822372e-151
Stem	GLUL	1.711846350995664e-203	0.43740201239030563	0.679	0.326	3.741069015465924e-199
Stem	HMGCS2	1.0689588051974817e-129	0.43625184754861945	0.663	0.389	2.3361025728785763e-125
Stem	ANP32B	7.413806260006153e-226	0.434971065187036	0.755	0.379	1.6202132200617446e-221
Stem	NUCKS1	1.4755944907454177e-213	0.4348019144263603	0.792	0.423	3.224764200075036e-209
Stem	CCND2	7.460498062596142e-237	0.43437932864420625	0.625	0.259	1.630417246599761e-232
Stem	LRRC75A	2.1131323530562046e-184	0.43406071737812235	0.551	0.246	4.61803944436903e-180
Stem	CDX1	1.8178844207335866e-206	0.43308005166351315	0.807	0.483	3.97280461307118e-202
Stem	GPR160	0	0.43257881075730953	0.62	0.223	0
Stem	PDIA6	6.518334844765525e-244	0.43087726657361447	0.726	0.337	1.4245168969750578e-239
Stem	IMPDH2	4.864322815803047e-283	0.42812039709579175	0.569	0.199	1.063049108165598e-278
Stem	ARPC3	3.03393163980364e-201	0.42422265701800166	0.832	0.504	6.630354205626874e-197
Stem	SNRPF	1.7206102765611056e-269	0.42352426342445887	0.665	0.27	3.76022169839664e-265
Stem	LPP	1.5355491889821965e-189	0.4219954482586774	0.765	0.447	3.355789197601692e-185
Stem	ETHE1	1.2257695343840632e-157	0.42128526447710923	0.807	0.513	2.678796740442932e-153
Stem	RNF186	0	0.42045783396161307	0.517	0.128	0
Stem	SPINK5	1.4452199834803488e-221	0.42033630696970403	0.364	0.105	3.1583837518979542e-217
Stem	KRTCAP3	0	0.4178273759952996	0.583	0.179	0
Stem	EIF1	2.6806217502766053e-157	0.4168335094871518	0.913	0.738	5.858230773054493e-153
Stem	DSG2	3.8653698170868825e-177	0.4155683349853686	0.829	0.529	8.447379198261674e-173
Stem	SPCS1	4.488299833198007e-242	0.4128197905493799	0.711	0.332	9.808730455470925e-238
Stem	S100A16	8.881333801131452e-198	0.4065399140321053	0.765	0.422	1.9409266888992675e-193
Stem	TRABD2A	0	0.4063159447473115	0.543	0.174	0
Stem	PRDX1	5.368306117592325e-196	0.4007841390186325	0.821	0.487	1.1731896189386268e-191
Stem	MARCKSL1	1.2918568541778862e-200	0.4004767448510139	0.848	0.521	2.8232239691203524e-196
Stem	LGALS2	2.4263869057981025e-149	0.3999402492953404	0.528	0.243	5.302625943931173e-145
Stem	TCEA3	6.008557836722319e-233	0.39947634751091954	0.76	0.366	1.3131102296372956e-228
Stem	MARCKS	4.383385990101722e-172	0.3987545921312923	0.93	0.701	9.579451742768303e-168
Stem	NFIB	5.246298082421053e-295	0.39814895404337997	0.566	0.193	1.146525982932297e-290
Stem	COMMD6	1.053563425662438e-233	0.3949604319662796	0.788	0.402	2.3024575104426923e-229
Stem	NFIA	0	0.3937047267235717	0.522	0.155	0
Stem	MECOM	3.4370637102489725e-283	0.39195474640487893	0.576	0.204	7.511359032378104e-279
Stem	ACTB	6.538523203576777e-138	0.3913256274033752	0.992	0.939	1.4289288609096689e-133
Stem	CES2	1.0989382386914966e-151	0.39083440295090777	0.839	0.542	2.4016196268363967e-147
Stem	MUC4	2.214406009013129e-194	0.3905625351346098	0.772	0.385	4.839362892097292e-190
Stem	UGDH	4.89481472022033e-201	0.3892786982238262	0.641	0.306	1.069712808956951e-196
Stem	RTN4	9.007499474413803e-169	0.38911979856037726	0.738	0.431	1.9684989351383926e-164
Stem	ZFP36L2	1.0666355755528625e-141	0.3890171510436973	0.956	0.812	2.331025386813226e-137
Stem	EMP2	4.100552935485219e-193	0.3885730084823159	0.705	0.358	8.961348385209398e-189
Stem	YBX3	1.0325931921286024e-208	0.386818964502233	0.731	0.37	2.2566291620778475e-204
Stem	PLCB4	1.940820592961952e-209	0.38656893397311837	0.573	0.236	4.24146932385905e-205
Stem	APEX1	6.267940976598817e-301	0.3808833155005281	0.521	0.161	1.3697958210259055e-296
Stem	ZFAS1	8.140359627741325e-188	0.3800154157036253	0.663	0.32	1.778994193046589e-183
Stem	OSTC	1.1353361049619648e-273	0.3782348472751292	0.564	0.195	2.481163523783878e-269
Stem	RAN	2.206733841280375e-203	0.37238800299325825	0.705	0.344	4.822596136734132e-199
Stem	SEC61B	1.1497280888274115e-193	0.3722610884650275	0.746	0.397	2.512615765323425e-189
Stem	FOXP1	5.83172355244867e-188	0.37215775306934457	0.682	0.338	1.2744648651521323e-183
Stem	TMEM123	4.176028866647262e-229	0.3694601825071667	0.674	0.288	9.126293485170927e-225
Stem	MT1G	1.7015673903597537e-89	0.369415238824673	0.752	0.538	3.718605374892206e-85
Stem	MTDH	1.9829050875702357e-176	0.36880018969526585	0.716	0.376	4.333440778375993e-172
Stem	NFKBIZ	4.589796088084696e-141	0.3681687608525336	0.623	0.334	1.0030540370900294e-136
Stem	RPL36A	4.674149740688695e-168	0.3673682817271686	0.669	0.337	1.0214886843301075e-163
Stem	TKT	6.338032464388203e-197	0.36732888373254696	0.623	0.281	1.385113614767398e-192
Stem	PDZK1IP1	2.5835344430759897e-246	0.36429554520200785	0.583	0.218	5.646056171898268e-242
Stem	FBL	5.471389346141283e-213	0.3625909804096939	0.601	0.25	1.195717427705716e-208
Stem	TSPAN6	4.01385480361168e-279	0.3611167322622608	0.584	0.206	8.771878287812965e-275
Stem	HSP90B1	6.265788471546464e-143	0.35883344696162844	0.732	0.42	1.369325412571764e-138
Stem	HNRNPA1	2.377960743677506e-174	0.3584238683746008	0.587	0.271	5.1967954092328214e-170
Stem	MT1M	6.777870992880394e-109	0.3566514180467094	0.566	0.3	1.4812359267840814e-104
Stem	MUC12	1.1752522747781394e-46	0.3565675475624319	0.738	0.573	2.5683963213001458e-42
Stem	ID2	3.0760516465632135e-74	0.353619885830592	0.627	0.429	6.722403268399247e-70
Stem	CCND1	8.041432027739358e-159	0.3533321831242901	0.538	0.242	1.7573745553421594e-154
Stem	RAB13	1.2171821160394346e-223	0.35311796251229294	0.573	0.23	2.6600297963925804e-219
Stem	NCL	1.996936811185885e-160	0.35296808709105865	0.813	0.48	4.364105707165633e-156
Stem	HADH	2.932765580729591e-237	0.35250186349388096	0.595	0.234	6.409265900126448e-233
Stem	TRIM2	7.227910793242819e-199	0.3499318320908575	0.646	0.3	1.5795876247552857e-194
Stem	C12orf57	1.5018573029872178e-178	0.3497342804016079	0.676	0.332	3.2821589499482657e-174
Stem	IRF2BP2	2.808286870168363e-162	0.3473653694135088	0.72	0.389	6.1372301260659404e-158
Stem	SET	7.747858890235055e-188	0.34618379050727544	0.717	0.355	1.693217081871969e-183
Stem	GAS6	7.537440497179771e-235	0.34560604377273146	0.597	0.236	1.647232246253667e-230
Stem	PLP2	9.258261974619084e-183	0.3452186355275015	0.587	0.26	2.0233005719332548e-178
Stem	TMEM238	6.067293715968111e-144	0.3444655081608208	0.87	0.619	1.325946368687671e-139
Stem	MYB	0	0.34403396724886526	0.476	0.126	0
Stem	TNFRSF11A	0	0.3433419221749205	0.458	0.121	0
Stem	ITGA6	1.9160564368914248e-124	0.342563390418572	0.739	0.449	4.18734973718252e-120
Stem	RAC1	9.165470459941893e-133	0.34238176687092126	0.874	0.647	2.0030219143157013e-128
Stem	CPNE3	8.676744474336381e-257	0.3419351911555587	0.55	0.196	1.8962157374214727e-252
Stem	ID3	2.6789371488304907e-58	0.3417576373110516	0.573	0.388	5.854549245054154e-54
Stem	MT1F	5.12533283635821e-114	0.3405735644301145	0.456	0.218	1.1200902380577233e-109
Stem	PPP1R14B	8.297742465760828e-191	0.33938302067575193	0.529	0.218	1.8133886384673714e-186
Stem	ITM2C	1.2959447610816849e-123	0.33918096394664565	0.966	0.803	2.832157680867914e-119
Stem	GDF15	1.9603974143676916e-74	0.33760542755454714	0.461	0.256	4.284252509359153e-70
Stem	SERP1	5.5812790455252603e-157	0.33666502289711575	0.752	0.434	1.2197327226090904e-152
Stem	SUB1	1.043620097912179e-168	0.33578982390809986	0.733	0.399	2.280727361977276e-164
Stem	ETS2	8.641686876120177e-89	0.33539027236648966	0.674	0.438	1.8885542499073035e-84
Stem	DUT	5.1040792524433654e-263	0.3349515384506244	0.536	0.18	1.1154454798289732e-258
Stem	NSA2	9.808623713762192e-162	0.334403049267544	0.68	0.351	2.1435766264055894e-157
Stem	SYPL1	5.097402421746629e-229	0.3343946300228343	0.532	0.195	1.1139863252485083e-224
Stem	GMNN	3.221285863276269e-203	0.3317927980432713	0.389	0.123	7.039798125603958e-199
Stem	ATP1B1	1.959034111932478e-99	0.3285056680063485	0.881	0.701	4.281273148217237e-95
Stem	SRI	2.0868765135468825e-148	0.3277982793327774	0.928	0.684	4.560659932705357e-144
Stem	KCNE3	4.379566734244575e-254	0.32663257292666553	0.38	0.102	9.571105141018095e-250
Stem	LDHA	4.633908731784115e-162	0.3264167718756842	0.793	0.468	1.0126944142441005e-157
Stem	ZKSCAN1	2.599655044887997e-141	0.3253185732920396	0.734	0.433	5.6812861350982285e-137
Stem	CCNI	1.4318687470770648e-146	0.3250819517254878	0.794	0.492	3.1292059598622176e-142
Stem	ECI2	8.713791727541302e-262	0.3249312387586144	0.45	0.136	1.904312044136876e-257
Stem	TFCP2L1	7.52776549702869e-136	0.32479804408165924	0.632	0.342	1.6451178717206497e-131
Stem	PLBD1	5.754464605814729e-274	0.32256799927610513	0.464	0.139	1.2575806949547508e-269
Stem	CCT2	2.1687110205345677e-210	0.3216351167258743	0.542	0.208	4.7395010642762445e-206
Stem	FOSB	6.0400007942731816e-55	0.3216309707187299	0.682	0.54	1.319981773580461e-50
Stem	CTSS	9.607191558141045e-140	0.3213753214339452	0.637	0.343	2.0995556431161438e-135
Stem	TMEM176B	2.4934495854668735e-133	0.3187072003301167	0.75	0.447	5.4491847240793055e-129
Stem	S100A14	2.0699483445173123e-105	0.3173636017999806	0.856	0.637	4.523665112108134e-101
Stem	ACTR2	5.217127656656662e-113	0.3161609349593153	0.732	0.47	1.140151078085747e-108
Stem	ENO1	7.137869560906766e-152	0.3161108621043025	0.831	0.527	1.5599100138405644e-147
Stem	PAPSS2	7.049871198981509e-140	0.3133417135097422	0.591	0.301	1.540678851825419e-135
Stem	LSM5	8.81129373580295e-195	0.3132402652547784	0.554	0.223	1.9256201330223765e-190
Stem	CASP6	3.390993298171831e-226	0.31292441140596233	0.492	0.175	7.41067675382472e-222
Stem	LBR	3.623944587041129e-186	0.3121677845196082	0.524	0.212	7.919768500519684e-182
Stem	HIF1A	4.623481551590082e-193	0.3117163173901698	0.455	0.168	1.0104156582844964e-188
Stem	DUOX2	1.5143519627630334e-70	0.31136314419622535	0.241	0.099	3.3094647794223334e-66
Stem	PPIC	8.218935878858368e-156	0.3111325949408605	0.513	0.23	1.796166246965708e-151
Stem	NHP2	4.3170608342255655e-203	0.3107039676423788	0.563	0.223	9.43450474711655e-199
Stem	GOLIM4	1.4293531919290047e-125	0.3101976314793107	0.741	0.46	3.123708465641647e-121
Stem	PDCD4	2.4870344679544746e-120	0.30909659392565636	0.79	0.513	5.435165126267709e-116
Stem	CDH17	2.6468986369120593e-100	0.30702551071398865	0.832	0.606	5.784532281107614e-96
Stem	SNORC	3.2338020053244346e-203	0.30625834149145387	0.524	0.2	7.067150902436019e-199
Stem	SAP18	1.3255384655349746e-126	0.30618590938832535	0.806	0.536	2.8968317625801336e-122
Stem	GSTO1	3.877073154338116e-174	0.30541261434961003	0.543	0.235	8.472955671490519e-170
Stem	RBM47	6.091232940023248e-114	0.3048869630769959	0.744	0.483	1.3311780467126806e-109
Stem	YWHAB	4.0953485503802096e-117	0.30033321201455154	0.871	0.663	8.94997472200091e-113
Stem	IGFBP4	5.600592381535625e-169	0.30023022331374166	0.535	0.233	1.2239534590607955e-164
Stem	MUC5B	1.3380507205675804e-149	0.300083765242382	0.396	0.149	2.92417604472839e-145
Stem	SH3BGRL	4.9717223446280024e-235	0.3000467738047731	0.461	0.149	1.0865202011950036e-230
Stem	HMGB1	2.8283075733687125e-129	0.30000438839040333	0.911	0.681	6.180983370839984e-125
Stem	CERS6	3.6678242990845992e-155	0.29978868148670074	0.553	0.254	8.015663223219483e-151
Stem	SNHG8	5.795549525315161e-121	0.2996117706480511	0.617	0.337	1.2665593932623754e-116
Stem	RSL1D1	2.712398639371044e-164	0.2989241389090596	0.526	0.224	5.92767598648148e-160
Stem	PGRMC1	4.0717589726668076e-148	0.2970801384708053	0.62	0.317	8.898422058866041e-144
Stem	TCEAL9	5.05755316823198e-173	0.29524075922885107	0.512	0.212	1.1052776693854169e-168
Stem	PDK4	2.5687040572995156e-95	0.291047648620648	0.427	0.212	5.613645846822362e-91
Stem	PIM3	6.4719427449304645e-124	0.2907323630879008	0.509	0.251	1.4143783674771038e-119
Stem	TTC3	7.875100245182886e-138	0.28988883149743483	0.704	0.383	1.7210244075822678e-133
Stem	MTUS1	1.3057444348689026e-116	0.2890390272671804	0.57	0.307	2.8535738879624995e-112
Stem	BACE2	3.067662413313817e-136	0.2877612720075686	0.486	0.217	6.704069438056016e-132
Stem	LDHB	4.6726789571820223e-169	0.2872108506366336	0.5	0.197	1.0211672593025592e-164
Stem	ITM2B	1.7118499949420405e-110	0.28650231847702956	0.735	0.459	3.7410769789463354e-106
Stem	ATP6AP2	3.395084921437829e-184	0.28640806340083724	0.499	0.197	7.419618587310231e-180
Stem	H2AFZ	9.598894859582827e-123	0.2857714555794295	0.654	0.36	2.097742482613231e-118
Stem	SSR4	8.024895986028996e-155	0.28508623734991445	0.896	0.602	1.7537607687867767e-150
Stem	FERMT1	1.001367263722984e-157	0.28390821628235546	0.586	0.27	2.1883880181402092e-153
Stem	GNPTAB	8.428692955616553e-130	0.2836072232854523	0.464	0.209	1.8420065585204414e-125
Stem	NET1	7.532422406409183e-93	0.28286380244178366	0.687	0.451	1.6461355926966627e-88
Stem	DNAJB1	8.4043032461517e-78	0.28191639838522753	0.701	0.492	1.8366764314139924e-73
Stem	IFT57	2.6486074579205755e-154	0.2814753581413545	0.434	0.175	5.788266738539626e-150
Stem	PALLD	5.37129503312878e-243	0.2802025435228005	0.414	0.121	1.1738428165399636e-238
Stem	CD63	2.3448495170481486e-107	0.279411508293232	0.97	0.825	5.124434134557024e-103
Stem	SELENOW	1.752779285886431e-97	0.27913016706570426	0.668	0.42	3.8305238513762065e-93
Stem	EID1	2.710918893258379e-147	0.27881495894093655	0.497	0.218	5.924442149326861e-143
Stem	SSB	1.3344517591146784e-152	0.27842576148066916	0.505	0.218	2.9163108743692182e-148
Stem	IFITM3	1.5992416006059194e-158	0.27797183211982446	0.584	0.263	3.494982593964176e-154
Stem	PLCE1	1.7544143597624313e-149	0.27722157772939826	0.625	0.304	3.8340971418248175e-145
Stem	SLC38A1	4.61391895847886e-111	0.2765163197757828	0.579	0.313	1.00832584918597e-106
Stem	ZFP36L1	1.0728597813700319e-106	0.27640708875904885	0.559	0.299	2.3446277662060674e-102
Stem	DNAJC15	3.660944548937687e-144	0.27582228538394993	0.659	0.346	8.000628217248421e-140
