cell_type_epi_custom	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
Imma. Gob. 2	ERN2	6.076451328538796e-32	-0.2719159832382201	0.625	0.731	1.3279476733388685e-27
Imma. Gob. 2	PCSK9	6.164970185386248e-32	0.10568043577022466	0.118	0.02	1.3472925843143106e-27
Imma. Gob. 2	KRT18	9.70136552017636e-32	-0.2713006595589267	0.993	0.996	2.120136420779342e-27
Imma. Gob. 2	ELF3	1.1951118909417727e-31	-0.22649522188345994	0.938	0.969	2.61179752646415e-27
Imma. Gob. 2	HEPACAM2	4.181129167463409e-31	-0.36382826646714017	0.508	0.656	9.137439682574534e-27
Imma. Gob. 2	DMBT1	5.108482872292725e-31	0.22780138971414654	0.101	0.014	1.116407846910852e-26
Imma. Gob. 2	PLPP2	9.07034559239056e-31	0.17582677890574439	0.287	0.131	1.9822333257610332e-26
Imma. Gob. 2	CEACAM6	1.0376289108525454e-30	0.3747137704581942	0.257	0.113	2.2676342217771527e-26
Imma. Gob. 2	PPA1	1.6256788524381887e-30	0.268920641369368	0.528	0.352	3.5527585641184174e-26
Imma. Gob. 2	PTGDR	3.607487571047873e-30	-0.1308190117275622	0.031	0.15	7.883803337768022e-26
Imma. Gob. 2	GLIPR2	1.5308714441774967e-29	-0.1392708171338787	0.053	0.184	3.3455664541055014e-25
Imma. Gob. 2	ANO7	1.8480854985916599e-29	-0.23684680470635022	0.313	0.484	4.0388060486222135e-25
Imma. Gob. 2	FAM3B	3.2831996071987415e-29	0.14048820738877413	0.174	0.054	7.1751044215721295e-25
Imma. Gob. 2	FOXQ1	3.3220901216867924e-29	0.1553656069693669	0.107	0.018	7.260095751934316e-25
Imma. Gob. 2	ITM2C	4.80357462912667e-29	-0.22092824620298268	0.824	0.905	1.0497731994493423e-24
Imma. Gob. 2	REP15	4.9659516866948724e-29	-0.3137738500280831	0.781	0.884	1.0852590816102975e-24
Imma. Gob. 2	DUSP1	5.237948914433116e-29	-0.3238808421041507	0.545	0.693	1.1447013557602131e-24
Imma. Gob. 2	CLCA1	6.07061898295847e-29	-0.2986630143883531	0.588	0.801	1.326673072535744e-24
Imma. Gob. 2	PERP	2.7424506408019775e-28	0.28785742512752377	0.572	0.414	5.993351630408642e-24
Imma. Gob. 2	CXCL8	3.267577813625061e-28	0.17540998453869328	0.108	0.019	7.140964553896208e-24
Imma. Gob. 2	AQP3	1.1968343181772932e-27	0.22303970291790629	0.325	0.172	2.6155617189446567e-23
Imma. Gob. 2	SLC4A7	2.1330652796893275e-27	-0.2539067394817514	0.327	0.484	4.6616008622330564e-23
Imma. Gob. 2	SELENOK	2.3201191334296456e-27	-0.2895426270836716	0.576	0.697	5.0703883541971474e-23
Imma. Gob. 2	TACSTD2	3.373779400806934e-27	0.25916670125460034	0.154	0.048	7.373057502523474e-23
Imma. Gob. 2	AMN	3.523295997735583e-27	-0.27609703341763076	0.409	0.557	7.699811073451344e-23
Imma. Gob. 2	OLFM4	1.753754923086219e-26	0.7049348837354172	0.173	0.06	3.8326560089126226e-22
Imma. Gob. 2	L1TD1	3.892246592211321e-26	0.38632375348723963	0.472	0.322	8.50611570261862e-22
Imma. Gob. 2	PDCD4	4.696889380953885e-26	-0.2279248497795111	0.389	0.546	1.0264582053136621e-21
Imma. Gob. 2	MUC4	1.5854370745813859e-25	-0.23775761742071277	0.618	0.763	3.46481418279016e-21
Imma. Gob. 2	LUC7L3	1.7604364633951212e-25	-0.3058568698739307	0.539	0.661	3.847257847103698e-21
Imma. Gob. 2	KRT20	2.261190510994684e-25	-0.44656050341362263	0.404	0.542	4.941605742727782e-21
Imma. Gob. 2	PRKAG2	2.6796223481887077e-25	-0.22216062284167098	0.273	0.428	5.856046679731602e-21
Imma. Gob. 2	CLDN4	4.623716826629838e-25	-0.26978216832721613	0.908	0.941	1.0104670752916849e-20
Imma. Gob. 2	DISP2	6.298036352524608e-25	-0.23244991261086034	0.13	0.268	1.3763728644807276e-20
Imma. Gob. 2	MS4A8	7.22688742005987e-25	0.11189934312858194	0.171	0.061	1.579363976779884e-20
Imma. Gob. 2	FCGRT	2.5677026544110972e-24	-0.2563101536264476	0.459	0.591	5.611457380950012e-20
Imma. Gob. 2	SDR16C5	1.6695867068857984e-23	0.11661024007117476	0.181	0.07	3.648714789228224e-19
Imma. Gob. 2	IER2	1.7262281797085373e-23	-0.33580895057984894	0.872	0.878	3.7724990639350374e-19
Imma. Gob. 2	GAS6	1.8761566620578827e-23	-0.16922784049379616	0.167	0.312	4.1001527692612967e-19
Imma. Gob. 2	MTRNR2L12	2.3189286236154395e-23	-0.249347571519363	0.372	0.505	5.067786614049181e-19
Imma. Gob. 2	GPA33	2.6462193137010827e-23	-0.22570201943747298	0.409	0.552	5.783047688162347e-19
Imma. Gob. 2	LEFTY1	3.810268967785264e-23	0.27618863658075593	0.332	0.189	8.326961802197916e-19
Imma. Gob. 2	ALDH1L1	5.380137698359314e-23	0.1483071151809139	0.261	0.129	1.1757752925994446e-18
Imma. Gob. 2	CCND2	7.699856322754622e-23	-0.2526664292452275	0.387	0.524	1.6827266007747952e-18
Imma. Gob. 2	SI	1.0469021862264284e-22	-0.17711385667245041	0.098	0.223	2.2879000377792367e-18
Imma. Gob. 2	PRDX1	1.0481382152872122e-22	0.26994451122750407	0.621	0.483	2.2906012556886733e-18
Imma. Gob. 2	MUC12	1.506199279623681e-22	0.3568515819507234	0.382	0.245	3.2916479056895926e-18
Imma. Gob. 2	IFI6	2.903768402976084e-22	0.23731010171161532	0.28	0.151	6.345895467863935e-18
Imma. Gob. 2	MT1M	3.4371992400138216e-22	-0.22286493699977783	0.213	0.366	7.511655219126206e-18
Imma. Gob. 2	OSBPL1A	3.552464960123718e-22	-0.17324368439378002	0.155	0.293	7.763556923854372e-18
Imma. Gob. 2	S100A13	4.413684026566821e-22	0.18198316101642037	0.481	0.328	9.64566507165913e-18
Imma. Gob. 2	FKBP11	4.424032010954816e-22	0.18411283772844517	0.361	0.213	9.668279556740655e-18
Imma. Gob. 2	S100A16	4.989241455675372e-22	0.2805131831770563	0.543	0.411	1.0903488277232958e-17
Imma. Gob. 2	FAM177B	1.9976438466297797e-21	0.14023086719109046	0.183	0.077	4.3656508624247206e-17
Imma. Gob. 2	DUSP4	3.981948082736527e-21	0.13861316184400024	0.143	0.05	8.702149340012406e-17
Imma. Gob. 2	SMIM22	5.1234999545444185e-21	-0.2292193216830818	0.816	0.846	1.1196896800661373e-16
Imma. Gob. 2	CA2	9.687590586512405e-21	-0.34509432000568585	0.142	0.269	2.117126046776421e-16
Imma. Gob. 2	FDPS	1.0255338716015159e-20	0.19700399936228308	0.387	0.25	2.241201722997953e-16
Imma. Gob. 2	MSMO1	1.0324638459578737e-20	0.21460758079505227	0.259	0.139	2.256346488956337e-16
Imma. Gob. 2	JCHAIN	1.792691910059226e-20	0.2620095626250063	0.205	0.347	3.917748900243432e-16
Imma. Gob. 2	TMSB10	2.5476401507805273e-20	-0.18140142989207053	1	0.997	5.567612785515764e-16
Imma. Gob. 2	FGFR2	2.980923951399923e-20	-0.15891099615158244	0.158	0.286	6.514511203389393e-16
Imma. Gob. 2	GALNT6	3.4030933830470614e-20	0.14455960578691052	0.256	0.135	7.437120279311048e-16
Imma. Gob. 2	UQCRC1	4.6752112172721777e-20	-0.2265470825049024	0.63	0.697	1.0217206594226617e-15
Imma. Gob. 2	CCND1	1.3013302205012818e-19	0.16834226919514692	0.287	0.161	2.8439270638835013e-15
Imma. Gob. 2	IGFBP4	1.7266710103286702e-19	-0.173924672361873	0.242	0.375	3.773466825972276e-15
Imma. Gob. 2	NFE2L3	1.756629285918701e-19	0.09315577143495045	0.126	0.042	3.8389376414467295e-15
Imma. Gob. 2	NR4A1	2.9032661438821336e-19	-0.40777093534101316	0.58	0.65	6.344797830840015e-15
Imma. Gob. 2	ACADS	3.021014960508443e-19	-0.17479527508519876	0.224	0.353	6.6021260946951516e-15
Imma. Gob. 2	MT1G	7.413936022701137e-19	-0.1577072166512894	0.576	0.772	1.6202415784011065e-14
Imma. Gob. 2	ID4	7.681230857015461e-19	-0.19028639732523145	0.136	0.256	1.678656191492159e-14
Imma. Gob. 2	BACE2	8.424394043898273e-19	0.20567679241737635	0.434	0.301	1.8410670743535286e-14
Imma. Gob. 2	PPP1R10	8.477145250853715e-19	-0.2328497046149075	0.562	0.668	1.852595323121571e-14
Imma. Gob. 2	ITPR2	1.2658000166282063e-18	-0.2191235732444925	0.329	0.456	2.766279356339282e-14
Imma. Gob. 2	COL9A2	1.4786968696372924e-18	0.0941047641980883	0.105	0.032	3.231544138905339e-14
Imma. Gob. 2	ST6GALNAC1	1.633835201179177e-18	-0.1118976505557332	0.84	0.917	3.5705834486569734e-14
Imma. Gob. 2	GADD45B	1.6938523344642684e-18	-0.2277898426823114	0.283	0.414	3.701744891738212e-14
Imma. Gob. 2	COL16A1	3.0561395175815547e-18	0.22853375671689496	0.264	0.15	6.67888730172273e-14
Imma. Gob. 2	ID2	5.060546008125204e-18	-0.2397328601748453	0.545	0.649	1.1059317246156822e-13
Imma. Gob. 2	HES6	7.357539129854012e-18	0.22613467785757446	0.498	0.362	1.6079166014382958e-13
Imma. Gob. 2	NXPE4	7.600397186255973e-18	-0.24139387205434865	0.375	0.498	1.6609908010843804e-13
Imma. Gob. 2	BIK	1.0923872997912041e-17	0.129045497277186	0.21	0.106	2.3873032049636974e-13
Imma. Gob. 2	RFLNA	1.2792627284202576e-17	-0.13681922908735297	0.129	0.242	2.795700766689631e-13
Imma. Gob. 2	C2CD4A	1.5182771332848663e-17	0.09600476957421838	0.131	0.049	3.318042847080747e-13
Imma. Gob. 2	NEDD4L	1.9017935138649922e-17	-0.19514396582546945	0.463	0.594	4.1561795452005543e-13
Imma. Gob. 2	NEAT1	2.5356560203097572e-17	-0.23846847787311765	0.987	0.994	5.541422666784944e-13
Imma. Gob. 2	TNFRSF11B	2.7086183955785448e-17	0.11734866337672045	0.162	0.071	5.919414641697352e-13
Imma. Gob. 2	PADI2	4.369187311323293e-17	-0.1892084096801564	0.294	0.414	9.548421950165925e-13
Imma. Gob. 2	SQLE	4.856945125474148e-17	0.1353883025604994	0.208	0.107	1.0614367877211203e-12
Imma. Gob. 2	PRAC1	5.845676538803337e-17	-0.27279188669157284	0.225	0.358	1.2775141507900811e-12
Imma. Gob. 2	FAM83E	6.08538055635354e-17	-0.1843329009090207	0.275	0.399	1.3298990667855025e-12
Imma. Gob. 2	FRZB	6.201221853069523e-17	-0.18927019198155987	0.167	0.284	1.3552150237698135e-12
Imma. Gob. 2	B3GNT7	7.58419718495128e-17	0.21047419450614133	0.249	0.143	1.6574504527992527e-12
Imma. Gob. 2	TENT5C	1.1478305477716189e-16	-0.16593451211940924	0.204	0.328	2.508468879100096e-12
Imma. Gob. 2	ATP2C2	1.2025073439375743e-16	-0.18230532544836114	0.41	0.522	2.627959549441175e-12
Imma. Gob. 2	DLL1	1.3439422672625407e-16	-0.15424254271094273	0.263	0.394	2.9370514308755563e-12
Imma. Gob. 2	HEXIM1	2.1818128941936841e-16	-0.26016088526329983	0.583	0.699	4.768133898970877e-12
Imma. Gob. 2	LGALS9	2.427052747677436e-16	-0.17525180265007567	0.517	0.619	5.3040810747742685e-12
Imma. Gob. 2	SLITRK6	2.5405855111644057e-16	0.08344433396569884	0.11	0.038	5.5521955760986925e-12
Imma. Gob. 2	MARCKS	2.5521999805935044e-16	-0.21490397909528824	0.699	0.758	5.5775778375890444e-12
Imma. Gob. 2	KLF3	2.9689149176835045e-16	-0.2272385124073829	0.491	0.589	6.488266661105531e-12
Imma. Gob. 2	CD24	3.6324794009082694e-16	0.25139709798840626	0.57	0.437	7.938420482744932e-12
Imma. Gob. 2	PKIB	4.503306257604753e-16	-0.10432957496770134	0.035	0.111	9.841525495369427e-12
Imma. Gob. 2	AP003774.4	4.61909813684723e-16	-0.10852976917135983	0.058	0.144	1.0094577068265936e-11
Imma. Gob. 2	SYNE2	5.832159263232929e-16	-0.21500737940322967	0.472	0.561	1.2745600853869242e-11
Imma. Gob. 2	ASS1	7.505602541331574e-16	0.16169269890096588	0.396	0.271	1.640274379382602e-11
Imma. Gob. 2	ERI3	7.525891534889619e-16	-0.2067114256408435	0.245	0.357	1.6447083360347774e-11
Imma. Gob. 2	ITGB8	8.5451691674973105e-16	0.08903340955994514	0.171	0.08	1.8674612698648622e-11
Imma. Gob. 2	FKBP5	1.4724499025450656e-15	-0.11817510009728216	0.122	0.228	3.2178920170219865e-11
Imma. Gob. 2	METRNL	1.6912228460812754e-15	-0.11173264199734328	0.087	0.182	3.6959984078260196e-11
Imma. Gob. 2	AC103702.2	1.820486401896971e-15	-0.20122160227901253	0.538	0.621	3.978490982705641e-11
Imma. Gob. 2	CD74	1.8679778653103375e-15	0.2153870318237105	0.374	0.258	4.0822788268492114e-11
Imma. Gob. 2	GPX2	2.7007593187739893e-15	0.22780945244217066	0.717	0.58	5.902239415248676e-11
Imma. Gob. 2	FSCN1	3.4349680479032056e-15	0.08833302216671002	0.105	0.038	7.506779171887666e-11
Imma. Gob. 2	HIST1H4C	4.429552239062751e-15	-0.34233943571994774	0.501	0.598	9.680343463247736e-11
Imma. Gob. 2	SLFN5	5.682638633330119e-15	0.0863727354824157	0.125	0.051	1.2418838469279642e-10
Imma. Gob. 2	PTCH1	5.9368742262697274e-15	-0.1019418992608353	0.084	0.177	1.2974444934089862e-10
Imma. Gob. 2	NEURL1	6.80846199174832e-15	-0.16762096925562536	0.348	0.46	1.487921283676678e-10
Imma. Gob. 2	PDK4	8.382770506154822e-15	-0.24150823089750106	0.253	0.366	1.8319706664150746e-10
Imma. Gob. 2	ANXA4	9.494334965414304e-15	0.16001332615566405	0.441	0.323	2.074891963341642e-10
Imma. Gob. 2	PPDPF	1.1502304618045947e-14	-0.273276568082756	0.952	0.959	2.5137136512277616e-10
Imma. Gob. 2	SATB1	1.1589648288767155e-14	-0.12109078592936984	0.122	0.223	2.5328017370271743e-10
Imma. Gob. 2	TXNIP	1.2273884039820374e-14	-0.15844984399316342	0.644	0.764	2.6823346180623445e-10
Imma. Gob. 2	TNFRSF25	1.2308675577909091e-14	-0.10480859225024566	0.098	0.194	2.689937960796253e-10
Imma. Gob. 2	TKT	1.507371245748869e-14	0.132866572764187	0.446	0.321	3.2942091204595784e-10
Imma. Gob. 2	DHRS9	1.560621080545126e-14	-0.11274602374997891	0.065	0.149	3.410581309423318e-10
Imma. Gob. 2	CA12	1.5860206693931727e-14	-0.18739875717384036	0.489	0.584	3.4660895708918397e-10
Imma. Gob. 2	FAM162A	1.6030049006165976e-14	-0.21151968050357683	0.552	0.618	3.5032069098075125e-10
Imma. Gob. 2	TSPAN7	2.5306746907349022e-14	-0.08449972687412567	0.06	0.142	5.530536469132056e-10
Imma. Gob. 2	RPL31	2.744042355287702e-14	-0.22360721381158766	0.928	0.927	5.996830163245744e-10
Imma. Gob. 2	SMAD9	3.221733771854631e-14	0.12803984647533365	0.262	0.159	7.040776985011111e-10
Imma. Gob. 2	DOPEY2	3.5163297173741577e-14	-0.16050196778457904	0.321	0.432	7.684586964349484e-10
Imma. Gob. 2	TMEM54	4.353644633309499e-14	-0.18778302058799368	0.614	0.689	9.51445498163458e-10
Imma. Gob. 2	CD177	4.658361573594853e-14	-0.15004515791249434	0.058	0.139	1.018038338293419e-9
Imma. Gob. 2	WNK4	4.7322817716277464e-14	-0.16933617405293033	0.403	0.513	1.0341928583715277e-9
Imma. Gob. 2	SELENBP1	6.896460280992181e-14	-0.25394399340882107	0.269	0.376	1.5071524298080312e-9
Imma. Gob. 2	GUCA2A	7.425035096244225e-14	0.04176699066183642	0.067	0.153	1.622667169933213e-9
Imma. Gob. 2	MRPS6	7.735501911982674e-14	-0.1546860208850237	0.24	0.347	1.6905165878446936e-9
Imma. Gob. 2	TNNC2	8.537205004283293e-14	-0.11518130954375741	0.143	0.245	1.865720781636071e-9
Imma. Gob. 2	NXPE1	8.640678981548669e-14	-0.2145198831510624	0.427	0.52	1.888333984627646e-9
Imma. Gob. 2	BDP1	8.840723946543412e-14	-0.17094510769453508	0.319	0.428	1.932051811277597e-9
Imma. Gob. 2	SULT1A1	1.1120301594463697e-13	-0.11458912317876446	0.117	0.212	2.4302307104540964e-9
Imma. Gob. 2	TRABD2A	1.1557211272816234e-13	-0.14504202052188625	0.246	0.354	2.5257129515612596e-9
Imma. Gob. 2	SLC26A3	1.3621526681650808e-13	-0.14068471515293052	0.047	0.121	2.9768484410079673e-9
Imma. Gob. 2	HPCAL1	1.5909687544825393e-13	-0.18383345162366183	0.464	0.555	3.4769031160461413e-9
Imma. Gob. 2	TLE4	1.5924063421548866e-13	-0.19122226145928167	0.322	0.434	3.480044820145289e-9
Imma. Gob. 2	SPDEF	1.9799615925377083e-13	-0.16739610539304095	0.61	0.69	4.327008064331908e-9
Imma. Gob. 2	REXO2	2.1756300085068872e-13	0.1278183430643542	0.287	0.186	4.754621820590951e-9
Imma. Gob. 2	C2orf88	2.2948624640503814e-13	-0.14478760871030513	0.1	0.187	5.015192428935703e-9
Imma. Gob. 2	MB	2.351153026285013e-13	-0.15796833697603566	0.226	0.329	5.138209823643268e-9
Imma. Gob. 2	FOSB	2.785224613652966e-13	-0.29121239979480307	0.771	0.799	6.0868298706771915e-9
Imma. Gob. 2	TCEA3	3.4731657610101523e-13	-0.1583105758393385	0.676	0.736	7.590256454111588e-9
Imma. Gob. 2	CDC42BPA	3.7847890876201983e-13	-0.1504081781823226	0.251	0.356	8.271278072085182e-9
Imma. Gob. 2	PMP22	4.2415416192686485e-13	0.0755383933167055	0.113	0.047	9.269465054749704e-9
Imma. Gob. 2	KCNK1	4.622062360440957e-13	0.11444475426110196	0.322	0.213	1.0101055082507668e-8
Imma. Gob. 2	C2CD4B	4.666205916475099e-13	0.08280903753064381	0.19	0.102	1.019752640986468e-8
Imma. Gob. 2	CDHR5	5.169809975989842e-13	-0.1961673979419878	0.37	0.468	1.1298102721528202e-8
Imma. Gob. 2	PHLDA2	6.060180425217672e-13	0.22991639162223743	0.466	0.352	1.32439183012707e-8
Imma. Gob. 2	FDFT1	6.101187396925269e-13	0.16324586839467298	0.375	0.268	1.3333534937240483e-8
Imma. Gob. 2	H1FX	6.109787585057085e-13	-0.20719163448341593	0.394	0.493	1.3352329788383752e-8
Imma. Gob. 2	CDX2	6.219882963068826e-13	-0.14815111597230246	0.5	0.602	1.3592932227490613e-8
Imma. Gob. 2	BCL2	6.902470897796641e-13	-0.09503898438167521	0.074	0.154	1.508465990004478e-8
Imma. Gob. 2	ASRGL1	7.763190868199446e-13	0.13397025897524695	0.295	0.193	1.696567732336307e-8
Imma. Gob. 2	LYPD8	8.67210756772597e-13	0.06791067264268022	0.115	0.049	1.8952023878508335e-8
Imma. Gob. 2	LGALS3	9.163278153791982e-13	-0.16795046783284118	0.923	0.946	2.0025428077296997e-8
Imma. Gob. 2	OCIAD2	9.459227160942032e-13	0.13373026574860625	0.514	0.398	2.0672195037522717e-8
Imma. Gob. 2	RPS20	1.015252820727699e-12	-0.2047851476018292	0.923	0.933	2.2187335144183132e-8
Imma. Gob. 2	PLXDC2	1.970008454496514e-12	-0.1282956528387701	0.236	0.344	4.305256476456682e-8
Imma. Gob. 2	HRCT1	2.2449156747201638e-12	-0.12657042400713403	0.119	0.208	4.906038715533446e-8
Imma. Gob. 2	SH3PXD2A	2.6491777431761107e-12	-0.17038986956684632	0.382	0.474	5.7895130399370726e-8
Imma. Gob. 2	CITED4	2.716034873734023e-12	0.07469116739453807	0.105	0.044	5.935622613058334e-8
Imma. Gob. 2	HMGCS1	2.8114801915092287e-12	0.26565382276388844	0.32	0.231	6.144208810524268e-8
Imma. Gob. 2	PROX1	3.2936157700885144e-12	0.11777667490287905	0.175	0.095	7.197867903951439e-8
Imma. Gob. 2	FTH1	3.4271233234658396e-12	-0.1502697788497006	0.554	0.654	7.489635311102246e-8
Imma. Gob. 2	EXT1	3.977874217617656e-12	-0.10832644656650339	0.131	0.221	8.693246315181624e-8
Imma. Gob. 2	NCOA7	4.297709463683348e-12	0.11560746059076657	0.242	0.148	9.392214261933588e-8
Imma. Gob. 2	BCAS1	4.7833877218533486e-12	-0.17156029845956738	0.305	0.405	1.0453615527338308e-7
Imma. Gob. 2	RAN	4.803694028474733e-12	0.14380643099624213	0.526	0.414	1.0497992929828682e-7
Imma. Gob. 2	RASD1	5.091010905176953e-12	-0.1536361957562571	0.578	0.668	1.1125895232173714e-7
Imma. Gob. 2	INSIG1	6.076076080054542e-12	0.17983895737610525	0.285	0.19	1.3278656665351196e-7
Imma. Gob. 2	GPT	6.1222276636306324e-12	-0.10387074203021426	0.098	0.179	1.3379516336098384e-7
Imma. Gob. 2	TMSB4X	6.984427221662897e-12	-0.18959401461687575	0.983	0.99	1.5263767250222094e-7
