cell_type_str	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
CB FBs	SVEP1	8.099740120982398e-83	0.44741884432583734	0.455	0.109	1.7635564165414976e-78
CB FBs	PTGIS	1.1247524578813906e-126	0.4463745243453276	0.432	0.054	2.448923526545152e-122
CB FBs	VEGFB	1.0836804954192453e-41	0.4455956052811572	0.67	0.393	2.3594975426763226e-37
CB FBs	RSPO3	1.8149796945069307e-65	0.44541715975318574	0.374	0.09	3.95175528884994e-61
CB FBs	CAPN6	8.494994618856561e-130	0.44467290439645063	0.282	0.01	1.849615178363639e-125
CB FBs	BHLHE41	4.277996080724192e-67	0.44278590163559517	0.432	0.115	9.314480866560783e-63
CB FBs	SELENOP	4.520532691911636e-46	0.4390994773849676	0.841	0.571	9.842555830099204e-42
CB FBs	PHGR1	5.613462024932916e-5	0.438300857467504	0.276	0.197	1
CB FBs	CD55	4.2023731466060926e-22	0.4375658992753374	0.37	0.193	9.149827052105446e-18
CB FBs	VCAN	5.559544164555573e-61	0.43410566908402193	0.837	0.376	1.210479550948685e-56
CB FBs	SCPEP1	9.3154077569107e-50	0.43248893381362513	0.693	0.383	2.0282437309121668e-45
CB FBs	EMP3	1.9449723740266282e-32	0.4236091718584163	0.783	0.542	4.234788349968178e-28
CB FBs	SEMA3E	4.637930806634045e-54	0.42293519442633454	0.211	0.031	1.0098166745284305e-49
CB FBs	HSPB6	7.793055272371359e-57	0.4208543373092607	0.47	0.155	1.696781924453416e-52
CB FBs	ABCA8	8.577714264363833e-79	0.4190240232546535	0.557	0.153	1.8676257267799372e-74
CB FBs	PIK3R1	3.258400128296562e-30	0.41781845777376736	0.63	0.382	7.094514599340105e-26
CB FBs	PODN	7.665700041635922e-60	0.4175387610189644	0.499	0.17	1.669052870065389e-55
CB FBs	CELF2	2.7157336775777623e-68	0.41723772660015296	0.509	0.157	5.912966936190062e-64
CB FBs	C16orf89	2.3645554495891375e-104	0.4171260477882992	0.319	0.032	5.148346580390429e-100
CB FBs	TGFBR3	1.1017072054439069e-30	0.40831282137704306	0.486	0.243	2.3987470984130185e-26
CB FBs	CADM3	3.867455837469767e-65	0.40201918998595654	0.261	0.04	8.420611594922924e-61
CB FBs	FGF7	5.168179921871694e-56	0.4005917452448726	0.585	0.222	1.125267814389124e-51
CB FBs	TSHZ2	3.0923541147549304e-41	0.396070466006621	0.668	0.343	6.73298261405591e-37
CB FBs	FTL	2.3904698016992016e-47	0.38737590582506387	1	0.986	5.204769899239672e-43
CB FBs	MMP2	3.4404140955155936e-45	0.38660333509901856	0.846	0.467	7.490813610166102e-41
CB FBs	IGFBP4	1.528502522744714e-11	0.38010953358421307	0.875	0.731	3.3280085427720656e-7
CB FBs	FLRT2	5.358703077911103e-72	0.3771850579482183	0.415	0.099	1.1667504211535846e-67
CB FBs	GPC3	1.0354294143967481e-45	0.37459869035091925	0.236	0.049	2.2544404639660396e-41
CB FBs	FBLN5	6.8260358530736165e-43	0.3728478126856766	0.566	0.256	1.4862327862897185e-38
CB FBs	ANXA1	4.0427702362064644e-17	0.37207014438529606	0.772	0.628	8.802323635292334e-13
CB FBs	ABCA6	3.964498370249829e-85	0.37174912568320007	0.432	0.09	8.631902301544952e-81
CB FBs	FCGRT	1.2817768752557656e-29	0.37143155679251094	0.797	0.582	2.7908127904943784e-25
CB FBs	SPON1	1.4670575792985475e-30	0.3691516845562404	0.476	0.226	3.1942244674067277e-26
CB FBs	F10	3.599540318828057e-28	0.36824269749022864	0.303	0.12	7.837279136184329e-24
CB FBs	PTN	8.88831429621474e-18	0.3634301132458893	0.443	0.26	1.9352526717148353e-13
CB FBs	ADAMTSL4	5.630094663837121e-75	0.3626166421199277	0.33	0.059	1.2258405111572564e-70
CB FBs	CTSK	1.4513768888972859e-59	0.36231616134843603	0.864	0.42	3.1600829001960604e-55
CB FBs	PSAP	5.404347473405775e-33	0.35867883818073243	0.916	0.802	1.1766885753846393e-28
CB FBs	LGALS3BP	5.155343241177081e-41	0.35527557492964656	0.873	0.547	1.1224728839014858e-36
CB FBs	LRRN4CL	4.0390723293671235e-61	0.35377003797963413	0.43	0.124	8.794272182731038e-57
CB FBs	PLTP	6.229224807459188e-38	0.3532314210232368	0.597	0.299	1.356289117328089e-33
CB FBs	NOVA1	3.568110658271105e-49	0.35267620241467673	0.518	0.2	7.768847336253676e-45
CB FBs	ZG16	6.531029259721655e-8	0.34852287904406815	0.119	0.053	0.001422001000719196
CB FBs	LAMA2	9.755726500367768e-47	0.345798989781288	0.486	0.192	2.124114330925074e-42
CB FBs	SMIM14	2.417194231924791e-21	0.3378000890483707	0.516	0.328	5.2629570011698476e-17
CB FBs	RUNX1T1	1.6276860716203308e-28	0.337711734587616	0.576	0.34	3.5439608837389464e-24
CB FBs	CPVL	1.3097371601506919e-107	0.3341182755692271	0.332	0.033	2.8516907187961013e-103
CB FBs	PDGFRA	1.502773663940281e-67	0.3313720059341453	0.766	0.309	3.271989098497174e-63
CB FBs	OAF	5.806993814581441e-33	0.3302194426030186	0.612	0.335	1.2643567632488172e-28
CB FBs	LIMA1	9.812234225386766e-27	0.32185289768394354	0.737	0.519	2.1364177578934605e-22
CB FBs	FXYD1	6.262879821851575e-40	0.32087703594716255	0.685	0.364	1.3636168236117435e-35
CB FBs	HTRA3	2.899689689361928e-34	0.3132548860515381	0.441	0.182	6.313494360647726e-30
CB FBs	SPON2	3.116894256718693e-57	0.3119354231241962	0.839	0.378	6.786413865153611e-53
CB FBs	PAM	1.2173230374737489e-23	0.31022677050962366	0.647	0.445	2.6504774494915934e-19
CB FBs	LSP1	7.197339573079356e-42	0.3072402517040185	0.451	0.17	1.5670767452465681e-37
CB FBs	COLEC12	5.482792878835248e-41	0.30584919145064365	0.42	0.155	1.1937684935087986e-36
CB FBs	COL4A4	4.696770866583413e-79	0.30092307311458777	0.215	0.016	1.0226279207812067e-74
CB FBs	PDE5A	4.7825994946574225e-26	0.29914184883810574	0.551	0.312	1.0413153879717606e-21
CB FBs	CST3	1.3452740238405193e-23	0.29844296149235694	0.52	0.318	2.929065132107963e-19
CB FBs	LRRC17	2.2634349503950145e-36	0.29549467856878786	0.322	0.105	4.928176917495065e-32
CB FBs	PLXDC2	1.882128367002746e-33	0.29273144457733624	0.687	0.383	4.097958093475079e-29
CB FBs	RPL36	1.989209483898816e-29	0.29111339339956155	0.994	0.981	4.3311058092928925e-25
CB FBs	CRABP2	9.731819884906929e-36	0.2902388425806826	0.273	0.078	2.118909143540786e-31
CB FBs	ARL6IP5	2.3654596461646623e-25	0.2899407707444226	0.666	0.453	5.150315287594319e-21
CB FBs	PCOLCE2	1.4047716540114305e-101	0.2889754996934697	0.182	0.001	3.058609322279088e-97
CB FBs	EPB41L2	1.6328523568610324e-28	0.28825032297757075	0.589	0.335	3.555209436593526e-24
CB FBs	ALDH1A1	6.6918511479964455e-43	0.28779908029520634	0.537	0.227	1.4570167504532662e-38
CB FBs	UGDH	9.488587868173472e-28	0.2870630607516793	0.418	0.198	2.06595023653741e-23
CB FBs	CTSO	7.287946327890078e-27	0.2867481987434069	0.568	0.33	1.5868045539715069e-22
CB FBs	LTBP3	7.377250347907968e-25	0.28391786494966365	0.67	0.454	1.606248718250002e-20
CB FBs	SH3BGRL3	1.0746445475871104e-8	0.2813756215916343	0.745	0.671	2.3398235734614154e-4
CB FBs	SSR4	3.6386310902863124e-17	0.27876362793514664	0.887	0.778	7.922391472880388e-13
CB FBs	DAB2	8.098449721414814e-31	0.2767553515135354	0.537	0.278	1.7632754578436474e-26
CB FBs	ANGPTL1	5.1046643830276103e-26	0.27647672488043906	0.42	0.196	1.1114385761166016e-21
CB FBs	GFPT2	9.767470900267142e-52	0.27631776961359356	0.328	0.082	2.126671439115165e-47
CB FBs	CTSF	4.155180442967088e-18	0.27246882764016767	0.555	0.38	9.04707437847224e-14
CB FBs	P2RY1	4.4498022705651385e-25	0.2719833850391437	0.234	0.08	9.688554483701477e-21
CB FBs	FRMD6	8.593946335980444e-28	0.26968330973483423	0.539	0.295	1.871159935733022e-23
CB FBs	LPAR1	4.423959411236006e-50	0.26950975015132084	0.409	0.128	9.632286826084156e-46
CB FBs	CLEC11A	1.026735220552628e-31	0.2679162054624763	0.706	0.391	2.2355105957092368e-27
CB FBs	PTPRD	1.689447022408309e-26	0.2655259861355953	0.257	0.09	3.678433001889611e-22
CB FBs	RARRES2	3.3478410741027836e-41	0.2654327042742517	0.929	0.593	7.289254370643991e-37
CB FBs	STEAP1	2.6609915107560626e-46	0.2647230472698897	0.38	0.115	5.793776816369175e-42
CB FBs	MMP23B	1.4004890530651317e-41	0.2609676118966099	0.378	0.125	3.0492848152387112e-37
CB FBs	NFIB	6.515410136889477e-27	0.2601010785943326	0.823	0.517	1.4186002491049457e-22
CB FBs	PMP22	7.39048532246699e-27	0.25971330634104084	0.875	0.634	1.6091303692607376e-22
CB FBs	RPS27	1.8900089040217563e-21	0.2593406753888292	0.994	0.983	4.1151163867265696e-17
CB FBs	RGMA	1.470047052290924e-38	0.2592143140370834	0.351	0.12	3.2007334469530288e-34
CB FBs	DDR2	2.9693338968421026e-16	0.25900737372126015	0.668	0.467	6.46513069359431e-12
CB FBs	ADAMTSL3	6.228323430995018e-38	0.2576565165248612	0.317	0.101	1.3560928606305452e-33
CB FBs	RPLP1	9.958446606273088e-26	0.25673357907235594	0.998	0.997	2.1682525795838393e-21
CB FBs	PPIC	8.412226146467384e-17	0.25659453199536275	0.727	0.564	1.8315939988703437e-12
CB FBs	MCUB	1.6005488397393796e-42	0.2538270949609178	0.376	0.126	3.484874988764551e-38
CB FBs	CP	7.299700953675645e-21	0.2534214266212916	0.234	0.086	1.589363888643798e-16
UC FBs	F3	4.996042950269372e-164	2.11626394802527	0.791	0.183	1.0877884315621504e-159
UC FBs	CXCL14	1.836347619291898e-129	2.0106128709079107	0.855	0.264	3.9982796714842496e-125
UC FBs	LYZ	5.232515381014638e-11	1.589469754197051	0.108	0.032	1.1392755739083171e-6
UC FBs	PDGFRA	8.01006198340536e-79	1.2243270153177093	0.771	0.34	1.7440307956468492e-74
UC FBs	PLAT	1.3877557697624234e-45	1.2201524772041292	0.721	0.432	3.0215606375037244e-41
UC FBs	CXCL8	0.004229408292421033	1.2054176675733244	0.135	0.089	1
UC FBs	ALKAL2	7.991334204959154e-130	1.0492626233425193	0.545	0.076	1.7399531964457566e-125
UC FBs	HLA-DRB1	2.423494527282578e-7	0.9681906192367372	0.054	0.176	0.0052766746342523575
UC FBs	BMP4	4.1327909130723997e-75	0.9338062467590316	0.697	0.259	8.998325655032537e-71
UC FBs	HLA-DRA	1.3505992381842778e-6	0.9274770899385829	0.104	0.23	0.02940659721298628
UC FBs	DMKN	3.1847814159271776e-80	0.9128032000437387	0.451	0.087	6.934224576898244e-76
UC FBs	EDNRB	1.5851023959693188e-80	0.9083969679419821	0.667	0.211	3.4512434467439977e-76
UC FBs	BMP5	3.861874239263303e-133	0.9082373514940554	0.556	0.077	8.408458781147988e-129
UC FBs	PTCH1	3.853519426569707e-84	0.9006471822273796	0.704	0.232	8.390267847470223e-80
UC FBs	SOX6	4.6912725355856804e-152	0.8923062065738246	0.566	0.069	1.0214307691730702e-147
UC FBs	G0S2	0.8564418558914615	0.8728754798652834	0.125	0.135	1
UC FBs	POSTN	3.2917919426290206e-54	0.8564357929491515	0.727	0.301	7.167218596686166e-50
UC FBs	GADD45G	1.939518964994366e-38	0.8150405987429136	0.593	0.28	4.2229146424822335e-34
UC FBs	HSD17B2	1.0653269978481342e-178	0.8121425895744452	0.438	0.021	2.3195364724147428e-174
UC FBs	PDGFD	1.4419154756406628e-94	0.8036890549597691	0.532	0.107	3.1394825651124153e-90
UC FBs	ENHO	7.014954279628234e-209	0.7776870454410261	0.414	0.009	1.5273659953034553e-204
UC FBs	EMID1	1.5209282981034938e-66	0.7196596298673027	0.545	0.155	3.311517183460737e-62
UC FBs	WNT5A	3.8819917292276127e-75	0.7169981784953892	0.545	0.13	8.452260592047282e-71
UC FBs	NSG1	3.085175768069643e-175	0.6853678342842298	0.434	0.021	6.7173531998180345e-171
UC FBs	IGFBP5	6.809929510991848e-6	0.685062067930791	0.67	0.572	0.14827259524282552
UC FBs	RGS10	5.197036285362794e-59	0.6791609385852053	0.67	0.269	1.1315507104120413e-54
UC FBs	DDHD1	2.630325822515529e-57	0.6667681803090488	0.508	0.162	5.727008413363062e-53
UC FBs	TMEM176B	4.490438393259965e-52	0.6636412869716233	0.882	0.469	9.777031513644922e-48
UC FBs	MMP1	7.681697569626269e-14	0.6564655109886016	0.141	0.04	1.6725360118347274e-9
UC FBs	VEGFA	1.1302017645281137e-29	0.6504788257432077	0.505	0.234	2.4607883019070617e-25
UC FBs	FOXF1	1.3217718077105373e-47	0.6426667535536701	0.68	0.333	2.877893756928153e-43
UC FBs	AGT	8.624129230750108e-42	0.6359887667199966	0.377	0.103	1.877731657411221e-37
UC FBs	CXCR4	3.0492752021087926e-67	0.6302531567249502	0.441	0.094	6.639186897551474e-63
UC FBs	PITX1	7.213819255467813e-61	0.6128283231734208	0.63	0.212	1.5706648664930068e-56
UC FBs	APLP2	5.870713467467512e-27	0.610883164784955	0.795	0.596	1.2782304432717013e-22
UC FBs	FENDRR	3.6382377031237816e-86	0.6036757777294531	0.492	0.097	7.92153495101141e-82
UC FBs	TRPA1	2.42389615334532e-146	0.5907310084143597	0.401	0.024	5.277549094678766e-142
UC FBs	TMEM176A	5.1287327703185595e-37	0.5778223168676127	0.781	0.434	1.1166789860814599e-32
UC FBs	RGS2	1.4525834007271702e-15	0.5724755952264884	0.438	0.241	3.162709838403268e-11
UC FBs	COL4A5	7.731792030900288e-103	0.5724346047572026	0.418	0.052	1.6834430788879197e-98
UC FBs	NRG1	1.2228235761836642e-122	0.5699737846499725	0.31	0.015	2.662453772424692e-118
UC FBs	AREG	2.055775910106287e-9	0.5537845656575889	0.128	0.047	4.4760408890744185e-5
UC FBs	PLAU	4.592333772282645e-22	0.5486807242125546	0.512	0.263	9.998888322391003e-18
UC FBs	CH25H	5.441254198500885e-22	0.5404646602916877	0.347	0.14	1.1847242766395976e-17
UC FBs	EMILIN1	1.3098185712900953e-33	0.5222780202414145	0.822	0.512	2.851867975269924e-29
UC FBs	ADGRL3	1.8764540231454675e-61	0.5213307057051438	0.508	0.136	4.085603344594626e-57
UC FBs	F2R	8.046234499553485e-17	0.5128062626640537	0.552	0.359	1.7519066375877803e-12
UC FBs	CD83	0.10161234504903711	0.5117894370360796	0.101	0.077	1
UC FBs	COL6A1	1.9170161835912609e-34	0.5077021182630477	0.909	0.739	4.173919336533252e-30
UC FBs	RARRES2	8.834953029460685e-27	0.5005229734108303	0.875	0.621	1.923634323104475e-22
UC FBs	HLA-DPB1	0.002056367333067808	0.4992381864376651	0.178	0.259	1
UC FBs	TGFBI	4.711018126520136e-38	0.48241527467238177	0.71	0.347	1.0257299766872291e-33
UC FBs	WNT4	2.7126610272309656e-45	0.4735651520396712	0.3	0.062	5.906276854589982e-41
UC FBs	COL6A2	9.800123406346687e-29	0.47158782640542785	0.912	0.792	2.133780869263864e-24
UC FBs	PCDH18	1.826642511615628e-23	0.46868647275502306	0.545	0.298	3.9771487405407067e-19
UC FBs	LSP1	2.2294231681231756e-41	0.4628389861024082	0.508	0.183	4.8541230639545905e-37
UC FBs	BMP2	1.1930188016381158e-42	0.4606169281832445	0.367	0.099	2.5975598368066696e-38
UC FBs	NBL1	8.294044585692414e-32	0.4569358789926017	0.801	0.521	1.8058623276428092e-27
UC FBs	GDF15	2.8939612300707397e-25	0.4568810102915606	0.236	0.066	6.301021786233022e-21
UC FBs	WNT5B	4.025329711117932e-97	0.4473799172849756	0.36	0.038	8.764350380017073e-93
UC FBs	TNFAIP3	0.23085126993612032	0.4369852814493298	0.283	0.266	1
UC FBs	TMEM119	1.271815237553164e-32	0.4332486383148513	0.428	0.16	2.7691233167245037e-28
UC FBs	HLA-DPA1	2.0966550859340867e-4	0.4286550908140009	0.168	0.266	1
UC FBs	TBX3	1.056649398834673e-34	0.4280300974268408	0.394	0.131	2.3006427360827335e-30
UC FBs	TSLP	3.436715182447758e-79	0.42699782481523096	0.29	0.03	7.482759966743504e-75
UC FBs	LAMA4	3.31749981115063e-15	0.42214243568738674	0.727	0.585	7.223192338818268e-11
UC FBs	LAMB1	1.8634432692868512e-19	0.416261361081678	0.778	0.588	4.057275030218261e-15
UC FBs	PTGS2	1.6492029124366571e-6	0.4130935541410965	0.263	0.157	0.035908095012483335
UC FBs	ALDH1A3	7.123977367861216e-16	0.40980575641561495	0.414	0.217	1.5511035923044225e-11
UC FBs	VSTM2A	5.862149053818236e-144	0.4065868132173645	0.236	0	1.2763657134878447e-139
UC FBs	ATP1B1	4.478733583677296e-28	0.4028886925829842	0.384	0.144	9.751546631740575e-24
UC FBs	FHL2	6.95789548205941e-17	0.3970323910783853	0.515	0.296	1.5149425833087955e-12
UC FBs	CPED1	5.335511025641418e-28	0.3921524101588232	0.478	0.221	1.161700815612906e-23
UC FBs	KCNQ1OT1	4.1185992335816346e-4	0.38346759059410185	0.616	0.546	1
UC FBs	CLMP	4.6661520588064984e-20	0.3809983484761744	0.542	0.294	1.0159612877639389e-15
UC FBs	PRDM1	6.071650864048232e-35	0.37961782499628416	0.525	0.207	1.3219805426292215e-30
UC FBs	FRZB	1.84652254449796e-12	0.3765446105249789	0.522	0.327	4.020433536135409e-8
UC FBs	RBP1	1.0327416128029434e-19	0.37219753179688164	0.589	0.353	2.2485883135558485e-15
UC FBs	CEBPB	5.520336834795109e-7	0.3718946867899853	0.737	0.618	0.012019429390399392
UC FBs	SLITRK6	9.745911904607838e-35	0.3694199831079857	0.232	0.048	2.1219773989902645e-30
UC FBs	HHIP	7.095210753656576e-17	0.3601119102965954	0.155	0.042	1.5448402373936463e-12
UC FBs	WFDC1	9.504444099253738e-23	0.3573989710989529	0.35	0.139	2.0694026137305165e-18
UC FBs	PDPN	1.1262192229055063e-19	0.35428108234353267	0.465	0.225	2.4521171140321586e-15
UC FBs	CCL11	0.8651020504682487	0.35180390999161526	0.192	0.192	1
UC FBs	ECM1	4.0978654799749295e-19	0.35162417558791603	0.596	0.357	8.922282509549414e-15
UC FBs	TMEM158	8.187165111079826e-13	0.34619604747116883	0.36	0.187	1.7825914596354105e-8
UC FBs	PALLD	3.008261216064722e-10	0.3440312217051308	0.704	0.545	6.549887145737719e-6
UC FBs	FGF9	7.239362705024689e-102	0.33732799511826955	0.253	0.011	1.5762264417650255e-97
UC FBs	DLL1	3.4479095907788153e-15	0.33626371724402093	0.367	0.187	7.507133552002715e-11
UC FBs	DEFB1	1.568606380518782e-40	0.335517791190754	0.135	0.011	3.415326672303544e-36
UC FBs	IGFBP3	1.4710823600602934e-21	0.33053373621362026	0.498	0.248	3.202987622559277e-17
UC FBs	PHGR1	4.853990325999411e-5	0.3238391149328518	0.296	0.2	1
UC FBs	CEBPD	7.744681552274805e-13	0.3223980372612265	0.842	0.722	1.6862495143767932e-8
UC FBs	CYGB	9.357926600635757e-19	0.3215878504825901	0.646	0.385	2.0375013587564235e-14
UC FBs	TSHZ2	4.3477649202600993e-11	0.31831774283361414	0.545	0.378	9.466388560882314e-7
UC FBs	ZEB1	7.049738524644338e-6	0.31054708782312845	0.549	0.462	0.15349395689708117
