cell_type_epi_custom	Gene	key	Pathway	Normal	Tumor	diff
Tuft	AREG	ligands	EGF	0.052083688368251516	0.15820636317241235	0.10612267480416084
Tuft	VEGFA	ligands	VEGF	0.4711718301855284	0.5772367277848381	0.10606489759930976
Stem	TNFSF10	ligands	TRAIL	0.4100517624613867	0.5133142317471674	0.1032624692857807
TC4	WNT11	ligands	WNT	0	0.10098020725637684	0.10098020725637684
TC1	LGR5	receptors	WNT AMP	0.04502649483689304	0.1444359676149406	0.09940947277804756
Imma. Gob. 2	EFNA1	ligands	EPHRIN	0.22736955778649492	0.3252926378859403	0.09792308009944539
Tuft	EPHA4	receptors	EPHRIN	0.058088334555420125	0.15514960219550536	0.09706126764008524
Enterocytes 3	BMP4	ligands	BMP	0.0013546850434396325	0.09836680232544741	0.09701211728200777
TC4	PTCH1	receptors	HEDGEHOG	0	0.09659230997064826	0.09659230997064826
Enterocytes 3	FGFR4	receptors	FGF	0.005870301854905074	0.10142724990472167	0.0955569480498166
TC4	EPHA2	receptors	EPHRIN	0.2559656384611507	0.3504745089045333	0.09450887044338258
Stem	LGR4	receptors	WNT AMP	0.36230586204219306	0.4563513197787352	0.09404545773654216
Stem/TA 1	MET	receptors	HGF	0.043864414825259046	0.13712304876199866	0.09325863393673961
Enterocytes 3	MET	receptors	HGF	0.015054998716476196	0.10754814506327019	0.092493146346794
Stem/TA 1	EREG	ligands	EGF	0.01112407075461264	0.10239663383509286	0.09127256308048022
TC4	EPHA1	receptors	EPHRIN	0	0.09107758800860245	0.09107758800860245
TC3	TNFRSF10B	receptors	TRAIL	0.07111874639545465	0.16188442236828252	0.09076567597282786
TC1	EFNA1	ligands	EPHRIN	0.16290003767148367	0.2535503716827667	0.090650334011283
TC3	EFNB1	ligands	EPHRIN	0.08752459682290899	0.17781896195358804	0.09029436513067905
TC2	EPHB3	receptors	EPHRIN	0.06436240882116344	0.15431466111796063	0.0899522522967972
TC4	HBEGF	ligands	EGF	0.37092548934930075	0.4595216136402429	0.08859612429094216
TC1	EPHA2	receptors	EPHRIN	0.0827887325450437	0.17057879238799425	0.08779005984295056
Stem/TA 3	MET	receptors	HGF	0.04068178507069508	0.1274273766417827	0.0867455915710876
Stem/TA 2	AREG	ligands	EGF	0.13499131680355209	0.2214446611923889	0.08645334438883681
Stem/TA 2	TNFSF10	ligands	TRAIL	0.15371832311748657	0.2399826123308726	0.08626428921338603
TC4	NOTCH1	receptors	NOTCH	0.09902102579427789	0.18281958808607557	0.08379856229179768
Enterocytes 3	TNFRSF10B	receptors	TRAIL	0.05776594339448468	0.14135722836484407	0.08359128497035939
Stem	MST1R	receptors	MST	0.10037483519934016	0.1834063890034919	0.08303155380415174
Stem/TA 1	FGFR4	receptors	FGF	0.05057994596682863	0.13142759233391366	0.08084764636708502
Stem/TA 2	MET	receptors	HGF	0.07798417309878992	0.15870090681277646	0.08071673371398654
TC3	BMP7	ligands	BMP	0.008202925213727163	0.08866987166914042	0.08046694645541326
TC1	HBEGF	ligands	EGF	0.1829662476052855	0.26228523199080095	0.07931898438551546
TC1	EFNB1	ligands	EPHRIN	0.18783530988345076	0.2668556257971826	0.07902031591373182
TC4	LGR5	receptors	WNT AMP	0.049510512897138946	0.12836374083352053	0.07885322793638158
TC1	JAG2	ligands	NOTCH	0.04576334042344244	0.12424411643893239	0.07848077601548994
TC3	FGFR4	receptors	FGF	0.0557182157123518	0.13254719712176047	0.07682898140940866
Tuft	MET	receptors	HGF	0.01663902528977982	0.09262428450416514	0.07598525921438531
TC2	EPHB2	receptors	EPHRIN	0.034906692546184295	0.11032810896987509	0.0754214164236908
Stem/TA 3	EPHB3	receptors	EPHRIN	0.07930553137621278	0.15435103179779566	0.07504550042158288
TC3	TGFBR2	receptors	TGFB	0.10772353115226231	0.18165742710456967	0.07393389595230736
Stem/TA 2	EFNA1	ligands	EPHRIN	0.20876054551916953	0.2826370955151613	0.07387654999599177
Tuft	FGF2	ligands	FGF	0	0.07324804836599272	0.07324804836599272
TC1	TNFRSF10B	receptors	TRAIL	0.1570455530666606	0.23012271768463646	0.07307716461797586
Enterocytes 2	EPHA2	receptors	EPHRIN	0.13054384633125166	0.20357028211681555	0.07302643578556389
TC1	TNFRSF1B	receptors	TNFSF10	0.017858864555489733	0.09049344414322145	0.07263457958773173
TC4	EPHB6	receptors	EPHRIN	0	0.07230704304873282	0.07230704304873282
Enterocytes 3	EPHB2	receptors	EPHRIN	0.010462650285690635	0.08236597895548704	0.0719033286697964
TC1	FGFR4	receptors	FGF	0.19526922967830881	0.2670073076247982	0.07173807794648937
TC4	ACVR1	receptors	TGFB	0	0.07166056761161745	0.07166056761161745
Ent. Prog. 2	EFNA1	ligands	EPHRIN	0.4146704943512191	0.48345806256902785	0.06878756821780874
Enterocytes 3	EPHA4	receptors	EPHRIN	0.00658601018628495	0.07499207277931741	0.06840606259303246
Enterocytes 3	VEGFA	ligands	VEGF	0.42663373077793393	0.49320960354032367	0.06657587276238974
TC4	EFNB1	ligands	EPHRIN	0.24755256448569474	0.31389051674686896	0.06633795226117423
Stem/TA 2	TGFBR2	receptors	TGFB	0.04081885421638423	0.10630395084807483	0.0654850966316906
TC2	JAG2	ligands	NOTCH	0.0049866703637406135	0.07028547547923718	0.06529880511549656
Enterocytes 3	EREG	ligands	EGF	0.024931860556582978	0.08973988513165668	0.0648080245750737
TC3	EFNA3	ligands	EPHRIN	0.02050731303431791	0.08437434963781486	0.06386703660349695
TC1	NOTCH1	receptors	NOTCH	0.28252267836222494	0.3461975106347451	0.06367483227252013
Enterocytes 3	EPHB4	receptors	EPHRIN	0.01768763718403534	0.08111296793786593	0.06342533075383058
Tuft	NOTCH1	receptors	NOTCH	0.0999270741025861	0.16281557189325088	0.06288849779066479
Stem/TA 1	TGFBR2	receptors	TGFB	0.03208658060963997	0.09375846065697833	0.06167188004733837
TC1	EFNB2	ligands	EPHRIN	0.3523224198642515	0.4138360213547616	0.061513601490510106
TC3	HBEGF	ligands	EGF	0.1740438739014665	0.23555154705717166	0.061507673155705156
Stem/TA 3	BMP7	ligands	BMP	0	0.060061611895506545	0.060061611895506545
Stem/TA 2	HBEGF	ligands	EGF	0.1283415959405544	0.1879496220163697	0.05960802607581531
Stem/TA 1	EPHB2	receptors	EPHRIN	0.06535253956716432	0.12446024504737671	0.059107705480212394
Stem/TA 3	FGFR4	receptors	FGF	0.06366619531858304	0.12197384502311069	0.05830764970452765
TC3	TNFRSF10A	receptors	TRAIL	0.03521090267803389	0.09341185116101595	0.058200948482982066
Enterocytes 1	BMPR2	receptors	BMP	0.12696082095554648	0.18481704443089136	0.05785622347534489
TC3	JAG2	ligands	NOTCH	0.012304387820590745	0.06811504890224393	0.05581066108165318
Tuft	TNFRSF1A	receptors	TNFSF10	0.12140679264824651	0.17719669688638345	0.05578990423813694
Ent. Prog. 1	VEGFA	ligands	VEGF	0.23030996705221177	0.2854392749451861	0.05512930789297435
Stem	WNT5B	ligands	WNT	0.011705661944996447	0.06619885228071012	0.054493190335713676
Stem/TA 2	EPHA2	receptors	EPHRIN	0.05056272561064833	0.10462687346421409	0.05406414785356576
Stem/TA 3	JAG2	ligands	NOTCH	0.01179824988187141	0.06581226901756881	0.05401401913569741
Enterocytes 3	EPHB3	receptors	EPHRIN	0.009295380273164216	0.06330470800625242	0.0540093277330882
Enterocytes 1	EGFR	receptors	EGF	0.2754289429012627	0.32892881704337273	0.05349987414211005
TC3	EPHB4	receptors	EPHRIN	0.0489091725773984	0.10228318879616884	0.053374016218770436
Stem/TA 3	EFNA1	ligands	EPHRIN	0.10117664770119744	0.15444936387541644	0.053272716174219
Enterocytes 3	EPHA2	receptors	EPHRIN	0.10805305165090465	0.16098493031959799	0.05293187866869334
Stem/TA 2	VEGFA	ligands	VEGF	0.42667293582932997	0.4793099285882789	0.05263699275894895
Stem/TA 3	MST1R	receptors	MST	0.04276865582178386	0.09537288335799432	0.05260422753621046
Stem/TA 2	EPHB2	receptors	EPHRIN	0.16754933261920935	0.21998798212241263	0.05243864950320329
Stem/TA 2	LGR5	receptors	WNT AMP	0.021546211129705686	0.07386180932260702	0.05231559819290134
TC1	TNFRSF10A	receptors	TRAIL	0.11302949324754948	0.16403376324312227	0.051004269995572796
TC2	NOTCH1	receptors	NOTCH	0.09851111204606841	0.14888842965032473	0.050377317604256316
Stem/TA 1	JAG2	ligands	NOTCH	0.012211322133417668	0.06115024292107078	0.04893892078765311
Stem/TA 1	EFNA1	ligands	EPHRIN	0.25495202797640737	0.3036320704550416	0.04868004247863422
Stem/TA 1	EPHB4	receptors	EPHRIN	0.032446408092381404	0.08061625999691759	0.04816985190453618
TC3	EFNB2	ligands	EPHRIN	0.3018928333475877	0.3499825176844801	0.04808968433689237
Imma. Gob. 2	HBEGF	ligands	EGF	0.37973597873650833	0.4268691170150428	0.04713313827853449
Imma. Gob. 1	HBEGF	ligands	EGF	0.11613672711200199	0.16293037209810204	0.04679364498610006
Enterocytes 1	LGR4	receptors	WNT AMP	0.3863399576089398	0.4329998253587869	0.046659867749847095
Stem/TA 1	BMP4	ligands	BMP	0.00440853961304305	0.05105908097859903	0.04665054136555598
Stem/TA 1	TNFRSF10B	receptors	TRAIL	0.053294895710514455	0.09901819090970577	0.04572329519919132
TC2	EPHB4	receptors	EPHRIN	0.034906692546184295	0.08049555139532986	0.04558885884914557
Enterocytes 3	TGFBR2	receptors	TGFB	0.03684064282310341	0.08236597895548704	0.04552533613238363
Tuft	TGFA	ligands	EGF	0.002419361886771188	0.047475834284927756	0.04505647239815657
TC4	EPHB4	receptors	EPHRIN	0.09902102579427789	0.14394616312471334	0.04492513733043545
Stem/TA 3	EPHA2	receptors	EPHRIN	0.039207003835461156	0.08370292088531377	0.04449591704985261
Enterocytes 3	IGF1R	receptors	IGF	0.06431800178849666	0.1088011560808913	0.04448315429239465
Tuft	FGFR3	receptors	FGF	0.05051206118691467	0.09495166856985551	0.044439607382940845
Stem	VEGFA	ligands	VEGF	0.4273623790127621	0.471801965523494	0.04443958651073193
Enterocytes 3	NOTCH1	receptors	NOTCH	0.02231467259496345	0.06636515558552668	0.04405048299056323
TC2	BMP4	ligands	BMP	0.009973340727481227	0.05396375106950936	0.043990410342028136
Stem/TA 2	BMP4	ligands	BMP	0.003621815308939578	0.04682479264832585	0.04320297733938627
Stem/TA 3	FZD3	receptors	WNT	0.015610504071718335	0.05830932274102973	0.04269881866931139
Imma. Gob. 2	TNFSF10	ligands	TRAIL	0.31737745097344755	0.3595741420608738	0.04219669108742624
Stem/TA 2	FZD3	receptors	WNT	0.02130901286364359	0.06350508385829048	0.042196070994646895
Imma. Gob. 2	WNT4	ligands	WNT	0.053126511833184155	0.0952428674276436	0.04211635559445944
Stem/TA 1	EPHA2	receptors	EPHRIN	0.09454425669174774	0.13605787957266385	0.04151362288091612
TC2	FGFR4	receptors	FGF	0.06774372989487376	0.10909845149523835	0.04135472160036459
Enterocytes 2	MET	receptors	HGF	0.022376478418291674	0.0634358015829305	0.041059323164638825
Stem/TA 3	EPHB2	receptors	EPHRIN	0.11898490763281097	0.15990289549408845	0.04091798786127748
Stem/TA 3	TNFRSF10A	receptors	TRAIL	0.04276865582178386	0.08360245953716507	0.04083380371538121
TC4	TGFA	ligands	EGF	0.049510512897138946	0.09026019746548931	0.04074968456835037
Goblet	EFNA1	ligands	EPHRIN	0.31515883305822195	0.3559001790765884	0.04074134601836643
Enterocytes 3	LGR5	receptors	WNT AMP	4.515616811465442e-4	0.04118298947774352	0.040731427796596976
Tuft	ACVR2B	receptors	TGFB	0.05041913882300749	0.09101081826229687	0.04059167943928938
Goblet	EPHA2	receptors	EPHRIN	0.10721852185101728	0.1474793978596734	0.04026087600865612
TC3	FZD3	receptors	WNT	0.05123486836502921	0.09123655664657435	0.040001688281545135
Stem/TA 2	EREG	ligands	EGF	0.017193630776726938	0.057167241348702054	0.03997361057197511
Enterocytes 3	JAG1	ligands	NOTCH	0.02833770250063919	0.06761816660314778	0.039280464102508586
TC3	WNT11	ligands	WNT	0	0.039170177014089445	0.039170177014089445
Stem/TA 1	NOTCH1	receptors	NOTCH	0.11090055242030271	0.14986420563308944	0.038963653212786734
Stem/TA 3	TNFRSF10B	receptors	TRAIL	0.04891838296624378	0.08774816628685604	0.03882978332061226
Imma. Gob. 1	EFNA1	ligands	EPHRIN	0.14331287389904726	0.18205761948961288	0.03874474559056562
Stem/TA 2	BMP7	ligands	BMP	0.00411538208691665	0.04258839572530559	0.03847301363838894
TC4	EPHB1	receptors	EPHRIN	0	0.037977931480504656	0.037977931480504656
Enterocytes 1	EPHA2	receptors	EPHRIN	0.29541662955936615	0.33336587071896906	0.03794924115960291
Stem/TA 3	EPHB4	receptors	EPHRIN	0.043631347541162935	0.08152960616231958	0.037898258621156644
Stem/TA 2	EPHB4	receptors	EPHRIN	0.069865064475884045	0.10739304723778892	0.037527982761904874
TC2	EREG	ligands	EGF	0.03735940180496554	0.07430969509002588	0.036950293285060345
Tuft	FZD3	receptors	WNT	0.06363467631868007	0.10050598511928242	0.036871308800602354
Stem/TA 1	BMP7	ligands	BMP	8.669758355971799e-4	0.03731469207857419	0.03644771624297701
TC1	EPHB2	receptors	EPHRIN	0.36308268734147103	0.39910056893880547	0.036017881597334434
Stem	EPHA2	receptors	EPHRIN	0.14172602820490685	0.17752092958862162	0.03579490138371477
TC4	TNF	ligands	TNFSF10	0	0.035409638742449255	0.035409638742449255
Tuft	EFNB1	ligands	EPHRIN	0.06546102237021427	0.10050598511928242	0.035044962749068154
Stem/TA 2	ACVR2B	receptors	TGFB	0.03371859917447146	0.06832584474539394	0.03460724557092248
Goblet	IGF1R	receptors	IGF	0.0427782564626962	0.07721234706026503	0.03443409059756883
Stem/TA 3	TGFBR2	receptors	TGFB	0.0653915787573412	0.0997408222504332	0.034349243493092
Stem/TA 1	LGR5	receptors	WNT AMP	0.0028545016832194096	0.037139719375317036	0.03428521769209763
Stem/TA 3	EGFR	receptors	EGF	0.09193764099155186	0.12589731963005377	0.03395967863850191
TC2	TNFRSF10A	receptors	TRAIL	0.04488003327366552	0.07852994212694402	0.033649908853278496
TC4	INHBB	ligands	TGFB	0	0.032942683128704096	0.032942683128704096
Stem/TA 2	FGFR4	receptors	FGF	0.0802369436247257	0.11313586604941729	0.032898922424691585
TC2	BMP7	ligands	BMP	0.0049866703637406135	0.03784950341309859	0.03286283304935798
TC2	PTCH1	receptors	HEDGEHOG	0.009973340727481227	0.04264604798223128	0.03267270725475006
Tuft	IGF1R	receptors	IGF	0.12425697491535195	0.15676306843737364	0.03250609352202169
TC1	TNFRSF1A	receptors	TNFSF10	0.1574030652050413	0.18979882820756747	0.03239576300252617
Enterocytes 3	FZD7	receptors	WNT	0.030936389175925363	0.06330470800625242	0.03236831883032705
TC1	EPHA1	receptors	EPHRIN	0.04799569849287866	0.08001460820385774	0.03201890971097908
TC2	EPHA2	receptors	EPHRIN	0.0428103780761707	0.07449224800593565	0.031681869929764954
Tuft	EPHB3	receptors	EPHRIN	0.1157675285210794	0.14726790158038808	0.03150037305930868
TC4	JAG2	ligands	NOTCH	0.049510512897138946	0.08096038253855338	0.031449869641414434
Goblet	TNFRSF10A	receptors	TRAIL	0.019768159329932297	0.05111910471015359	0.03135094538022129
Tuft	DLL1	ligands	NOTCH	0.05183437480244262	0.08312911764717959	0.03129474284473697
Tuft	ERBB2	receptors	EGF	0.02581440988319654	0.05697100114191331	0.031156591258716768
Imma. Gob. 2	FGFR4	receptors	FGF	0.02283738613349486	0.05382961276778857	0.03099222663429371
Tuft	TNFRSF1B	receptors	TNFSF10	0.0031269798764887525	0.034039817120383564	0.030912837243894813
Tuft	TNFSF10	ligands	TRAIL	0.2350321558405506	0.26588013108298997	0.030847975242439374
Stem/TA 3	NOTCH1	receptors	NOTCH	0.13128436192173082	0.16165305537803734	0.030368693456306523
TC4	FZD10	receptors	WNT	0	0.03025144009128202	0.03025144009128202
TC4	WNT2B	ligands	WNT	0	0.029973649912847154	0.029973649912847154
Stem/TA 3	VEGFA	ligands	VEGF	0.35553150214170354	0.3852980397490088	0.029766537607305243
Enterocytes 1	TGFBR2	receptors	TGFB	0.040528845639936834	0.07025908223514668	0.029730236595209847
Stem/TA 2	TNFRSF1B	receptors	TNFSF10	0.008437579799877606	0.03814514456787004	0.029707564767992436
TC4	DLL4	ligands	NOTCH	0	0.02932588323320794	0.02932588323320794
Imma. Gob. 2	EPHA2	receptors	EPHRIN	0.12209611605311778	0.15126364629713954	0.029167530244021758
Goblet	TNFRSF10B	receptors	TRAIL	0.04707441285504943	0.07611239247072854	0.02903797961567911
TC2	LGR5	receptors	WNT AMP	0.026538701108733354	0.05548347714879006	0.028944776040056706
Enterocytes 1	JAG1	ligands	NOTCH	0.04260724798044641	0.07099788409249556	0.02839063611204915
Stem/TA 3	LGR5	receptors	WNT AMP	0.02827144567296882	0.05633693071433294	0.02806548504136412
Tuft	PTCH2	receptors	HEDGEHOG	0.021181241145703703	0.049089300526796026	0.027908059381092323
TC3	TNFRSF1B	receptors	TNFSF10	0.02871023824804507	0.05644216319029432	0.02773192494224925
Stem/TA 3	HBEGF	ligands	EGF	0.14130916876221108	0.16903636013050516	0.027727191368294074
TC2	EGFR	receptors	EGF	0.034906692546184295	0.06229366416708188	0.027386971620897586
Tuft	TGFB1	ligands	TGFB	0.001209680943385594	0.028485500570956654	0.02727581962757106
Goblet	WNT4	ligands	WNT	0.045859428018183275	0.07290523295154373	0.027045804933360458
Stem/TA 3	BMP4	ligands	BMP	0.005899124940935705	0.03291785386727362	0.027018728926337915
Stem/TA 1	TNF	ligands	TNFSF10	0.005235153646803099	0.03216502497003274	0.026929871323229642
Tuft	EFNA3	ligands	EPHRIN	0.01109268352651988	0.037980667427942205	0.026887983901422323
Tuft	BTC	ligands	EGF	0.0072580856603135634	0.034039817120383564	0.02678173146007
Tuft	VEGFB	ligands	VEGF	0.03186281460012451	0.058584467383781584	0.026721652783657075
Enterocytes 1	LTBP1	ligands	TGFB	0.06295996393059203	0.08958130906361057	0.026621345133018545
Stem/TA 1	FZD3	receptors	WNT	0.00502194127221236	0.03160390268069729	0.026581961408484935
Imma. Gob. 2	BMP7	ligands	BMP	0.0024529981111828195	0.02898737368939278	0.026534375578209958
TC1	EPHB1	receptors	EPHRIN	0	0.026287095036028038	0.026287095036028038
Stem	TNFRSF1B	receptors	TNFSF10	0.015156279458307841	0.04130467744578504	0.026148397987477198
TC4	FGFR3	receptors	FGF	0.049510512897138946	0.07509975364754395	0.025589240750405008
TC3	BMPR2	receptors	BMP	0.09503058099724926	0.12061921236623531	0.02558863136898605
TC3	LGR6	receptors	WNT AMP	0.004101462606863581	0.029426160402049376	0.025324697795185796
Enterocytes 1	MST1R	receptors	MST	0.2754289429012627	0.30050746191171174	0.025078519010449052
Ent. Prog. 2	WNT5B	ligands	WNT	0.004203014738109825	0.028934782061335443	0.024731767323225618
TC1	EFNA3	ligands	EPHRIN	0.05041772328639923	0.07511862191594562	0.024700898629546393
TC2	FZD3	receptors	WNT	0.014960011091221841	0.03923574986174032	0.024275738770518477
TC3	EGFR	receptors	EGF	0.09162605942977256	0.11569647387717936	0.024070414447406804
TC3	FZD6	receptors	WNT	0.03521090267803389	0.05925431068688504	0.02404340800885115
Stem/TA 1	IGF1R	receptors	IGF	0.05362213032199947	0.07734131624616815	0.023719185924168676
Imma. Gob. 1	EPHB3	receptors	EPHRIN	0.08353080412757127	0.10720314795161844	0.023672343824047162
Stem/TA 1	TNFRSF1B	receptors	TNFSF10	0.010477370462223308	0.034101685488225494	0.023624315026002186
Tuft	TGFBR1	receptors	TGFB	0.05162881976639308	0.07507724552523276	0.02344842575883968
TC1	PTCH1	receptors	HEDGEHOG	0.052650081355835446	0.07583663041624125	0.023186549060405806
Tuft	EREG	ligands	EGF	0.0069615777426950695	0.030098966812824927	0.023137389070129858
Imma. Gob. 1	TNFRSF1A	receptors	TNFSF10	0.05800759293977249	0.0810646579446294	0.023057065004856908
TC4	LTBP1	ligands	TGFB	0.049510512897138946	0.0724165006062176	0.022905987709078653
Enterocytes 1	AREG	ligands	EGF	0.8834550463084739	0.9062511299793713	0.02279608367089736
Goblet	EFNB2	ligands	EPHRIN	0.2883697002989565	0.31112570370537607	0.02275600340641959
Stem/TA 2	EPHA4	receptors	EPHRIN	0.02218449086867031	0.04481002130402336	0.02262553043535305
Imma. Gob. 1	WNT4	ligands	WNT	0.01749267332643395	0.040113730457303064	0.022621057130869114
Stem/TA 1	TNFRSF10A	receptors	TRAIL	0.03779558397607879	0.060044814127225364	0.022249230151146576
Enterocytes 1	ACVR1B	receptors	TGFB	0.17442952673432202	0.19666665281351708	0.022237126079195063
TC2	EFNB1	ligands	EPHRIN	0.09851111204606841	0.1207187126188455	0.022207600572777084
Imma. Gob. 2	TGFBR2	receptors	TGFB	0.04947678793123712	0.07132868690624185	0.021851898975004724
Stem/TA 2	MST1R	receptors	MST	0.09075219834953376	0.11259131785456025	0.021839119505026497
Stem/TA 3	PTCH1	receptors	HEDGEHOG	0.01413572283648441	0.03575573574798357	0.02162001291149916
Stem/TA 1	VEGFB	ligands	VEGF	0.06300448047483705	0.08454557339636297	0.021541092921525923
Enterocytes 2	TNF	ligands	TNFSF10	0.00413079368629288	0.025610462258607435	0.021479668572314554
Imma. Gob. 1	AREG	ligands	EGF	0.095154867861797	0.11655921045352163	0.021404342591724634
TC3	EPHB6	receptors	EPHRIN	0.008202925213727163	0.029582687765678857	0.021379762551951696
Stem/TA 3	ACVR1B	receptors	TGFB	0.08013939110968045	0.10149311140491002	0.02135372029522957
Goblet	HBEGF	ligands	EGF	0.1851980176532681	0.20648388022990197	0.02128586257663387
TC4	WNT7B	ligands	WNT	0	0.021283548292238188	0.021283548292238188
TC2	EFNA3	ligands	EPHRIN	0.009973340727481227	0.03125538787677263	0.021282047149291404
Imma. Gob. 2	AREG	ligands	EGF	0.2938044998258216	0.31498509101219346	0.02118059118637189
TC1	WNT3	ligands	WNT	0.008929432277744866	0.0300843897044705	0.021154957426725633
Ent. Prog. 2	MET	receptors	HGF	0.036254425823468175	0.057345845838830255	0.02109142001536208
Stem/TA 2	EFNA3	ligands	EPHRIN	0.028162484516567825	0.049253272461458913	0.02109078794489109
Goblet	DLL1	ligands	NOTCH	0.12940932701229071	0.15024557163324823	0.02083624462095751
TC3	EPHA1	receptors	EPHRIN	0.027007977464306724	0.04776025818136533	0.02075228071705861
TC3	IGF1R	receptors	IGF	0.13093842471467004	0.15167467524685502	0.020736250532184974
Stem/TA 3	TNFRSF1B	receptors	TNFSF10	0.03884551652313052	0.05875378702652552	0.019908270503394998
Imma. Gob. 1	TGFBR2	receptors	TGFB	0.02618420872662357	0.046035813615883055	0.019851604889259484
TC3	JAG1	ligands	NOTCH	0.04411076893114794	0.06387459386847602	0.019763824937328082
Tuft	BMPR2	receptors	BMP	0.08566602060076889	0.10517621233805768	0.019510191737288796
TC2	BMPR1A	receptors	BMP	0.0049866703637406135	0.0243846782460224	0.019398007882281788
Enterocytes 3	EPHB6	receptors	EPHRIN	0.007224986898344707	0.02643517712540426	0.019210190227059554
