cell_type_imm	gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj
B cells	LINC01781	0	0.4916593068570228	0.277	0.035	0
B cells	RPS12	0	0.49127775605099533	0.999	0.995	0
B cells	MEF2C	0	0.4902333111194771	0.492	0.194	0
B cells	AFF3	0	0.48424365173797196	0.375	0.023	0
B cells	BLK	0	0.4840326754951178	0.416	0.038	0
B cells	RPL28	0	0.4830265223206034	1	0.99	0
B cells	HLA-DQB1	0	0.4778494410107456	0.583	0.116	0
B cells	RPS2	0	0.47444758547672317	1	0.996	0
B cells	RPL13	0	0.4717026704684977	1	0.997	0
B cells	RPS27A	0	0.470161622079702	0.999	0.996	0
B cells	STX7	0	0.4694991423753312	0.395	0.111	0
B cells	SNX2	0	0.465289041839766	0.5	0.168	0
B cells	IFT57	0	0.4645874493005221	0.401	0.124	0
B cells	RPL5	0	0.4619305142766086	0.988	0.942	0
B cells	MARCH1	0	0.4557276725143575	0.391	0.06	0
B cells	RPL35A	0	0.4534899069479872	0.998	0.989	0
B cells	SWAP70	0	0.44799611196970474	0.404	0.056	0
B cells	RPS7	0	0.4469599311230108	0.999	0.979	0
B cells	CD22	0	0.44545299691160906	0.342	0.011	0
B cells	TRIM38	0	0.44226087157720323	0.493	0.214	0
B cells	RPS16	0	0.4421401756610326	1	0.99	0
B cells	RPL36	0	0.4417477767096347	0.997	0.985	0
B cells	GRASP	0	0.42881480778731057	0.393	0.104	0
B cells	RPS14	0	0.42561762925422153	0.999	0.995	0
B cells	RPL7	5.694880356352615e-296	0.42114067492556617	0.953	0.874	1.2445591530773005e-291
B cells	YBX3	9.103471367920965e-113	0.4209098968646862	0.3	0.162	1.9894726327454475e-108
B cells	CCR7	0	0.4207141612311309	0.408	0.095	0
B cells	RHOH	1.0731578902194425e-196	0.4179520764311806	0.56	0.352	2.3452792532855695e-192
B cells	RPL14	0	0.41682079032536556	0.996	0.976	0
B cells	MARCKSL1	6.600855042259049e-217	0.41277021711914086	0.411	0.196	1.4425508609352926e-212
B cells	SP110	0	0.4092709014669752	0.494	0.2	0
B cells	YPEL5	1.4920033579009573e-192	0.40437352887884503	0.747	0.581	3.260624138356752e-188
B cells	RPS25	6.261784546077691e-211	0.4029535124332593	0.824	0.696	1.3684503946998187e-206
B cells	FCER2	0	0.40080513037422383	0.249	0.009	0
B cells	LINC02397	0	0.3984657135115473	0.248	0.009	0
B cells	DDX21	1.0774638825158582e-169	0.3882198650716908	0.575	0.382	2.3546895688501567e-165
B cells	LYN	0	0.3879755157464552	0.457	0.131	0
B cells	KDM6B	1.2130315125806788e-203	0.38785534997363913	0.66	0.436	2.6509590675938154e-199
B cells	ZNF331	6.881145074217004e-136	0.3873380620466016	0.619	0.428	1.503805444519384e-131
B cells	ZBTB20	1.1497333449920475e-154	0.38417429236725265	0.474	0.289	2.5126272521456205e-150
B cells	BASP1	0	0.381182840791628	0.536	0.241	0
B cells	GPR183	5.922895498174101e-205	0.3759122059655895	0.625	0.367	1.294389582170968e-200
B cells	LY86	0	0.3758985991150177	0.37	0.057	0
B cells	MTPN	6.469201075492519e-241	0.3742654638216408	0.53	0.278	1.4137792030381351e-236
B cells	HLA-DQA2	0	0.3735121340039195	0.408	0.14	0
B cells	RPL7A	4.0009741276829193e-293	0.37188636658488106	0.998	0.99	8.743728858638252e-289
B cells	SYPL1	0	0.3712968587006042	0.409	0.137	0
B cells	RPL3	4.695394375037382e-306	0.3703071472130337	1	0.996	1.0261314867206695e-301
B cells	CD69	5.5323174736627736e-188	0.36986386226988754	0.734	0.48	1.2090326606942625e-183
B cells	RPS9	9.511220444218345e-274	0.3666305258855862	0.99	0.964	2.078582115879477e-269
B cells	NACA	8.350028964928424e-282	0.3665084690009479	0.992	0.963	1.8248153299954576e-277
B cells	IDI1	1.9905139579409653e-160	0.3649014046764756	0.512	0.315	4.3500692036841856e-156
B cells	ORAI2	1.4525280680354826e-226	0.3643977803399607	0.433	0.215	3.174354839884744e-222
B cells	LINC00926	0	0.3632215689432487	0.278	0.005	0
B cells	CXCR5	0	0.3626561956748485	0.272	0.016	0
B cells	LUC7L3	2.333291156617068e-163	0.362108842343549	0.644	0.461	5.0991744936709405e-159
B cells	RPS15A	0	0.35826773038072357	0.999	0.989	0
B cells	PARP14	3.8449846760987605e-155	0.3571575479872523	0.488	0.298	8.402829511146231e-151
B cells	FCRL1	0	0.3556807192774348	0.278	0.006	0
B cells	RASGEF1B	7.463221564833041e-200	0.35435207499825294	0.419	0.207	1.6310124407786129e-195
B cells	RPS3	6.037300691703874e-239	0.35421479183609605	0.953	0.884	1.3193916931649648e-234
B cells	RBM38	0	0.35339018300415015	0.39	0.145	0
B cells	SMCHD1	1.0934908175621755e-142	0.35331757975705125	0.623	0.454	2.3897148327003784e-138
B cells	ATP2B1	7.025283445942718e-183	0.3526512448015897	0.5	0.291	1.5353054442763214e-178
B cells	STK17A	1.2621717332421695e-242	0.3524751250539566	0.536	0.272	2.7583501058274373e-238
B cells	RACK1	2.8309585689225863e-183	0.3486053425595841	0.886	0.826	6.18677685652342e-179
B cells	CCDC50	3.671404073479309e-200	0.34796830322700195	0.394	0.196	8.023486462181683e-196
B cells	PTMA	2.109445710017466e-284	0.3475069438285754	0.997	0.958	4.60998265467217e-280
B cells	RPL4	8.265157856252692e-210	0.34746879094863936	0.911	0.84	1.8062675979054634e-205
B cells	MIR29B2CHG	1.851945703809149e-178	0.347441195000515	0.433	0.23	4.0472421411045145e-174
B cells	ARPC3	6.499356182875475e-194	0.34469484672345496	0.817	0.628	1.4203693002056064e-189
B cells	CD53	1.472793633445267e-180	0.3444934060008048	0.68	0.459	3.218643206531286e-176
B cells	LY9	0	0.3434085442137251	0.311	0.081	0
B cells	RPL22	7.534009539240626e-153	0.34244424450781774	0.751	0.612	1.6464824447056463e-148
B cells	EIF1B	3.243677228392853e-187	0.3409709998815565	0.531	0.318	7.088732214929741e-183
B cells	RPS24	1.1474968431027865e-216	0.34031498733585774	0.997	0.983	2.50773960091683e-212
B cells	CD19	0	0.33605257902803665	0.291	0.026	0
B cells	PDLIM1	0	0.3357779798323822	0.292	0.064	0
B cells	SLC2A3	7.216013279535198e-224	0.3350089344567261	0.558	0.294	1.5769875421096223e-219
B cells	SP100	3.1937091303265596e-186	0.3336083758183201	0.436	0.233	6.979531933415663e-182
B cells	RPL39	8.639161255178312e-129	0.3286310248341424	0.725	0.575	1.8880023007066684e-124
B cells	RCSD1	8.701886177212647e-215	0.32834772489953323	0.411	0.195	1.901710205168052e-210
B cells	CD72	0	0.3244515166706253	0.248	0.033	0
B cells	AC004687.1	3.541285039755885e-204	0.32439717752960123	0.421	0.205	7.73912432588251e-200
B cells	RPL24	3.4296909948074835e-227	0.32430652329690046	0.997	0.984	7.495246700052274e-223
B cells	TNRC6B	3.629103424832445e-133	0.3226571656416004	0.581	0.418	7.931042624628825e-129
B cells	TRAF5	0	0.32234021059642404	0.342	0.103	0
B cells	CD24	0	0.32098954259077833	0.263	0.04	0
B cells	WSB1	1.1497965045126017e-147	0.3204257287380313	0.606	0.409	2.51276528096184e-143
B cells	SKIL	4.8618549882509525e-146	0.3180219893542162	0.454	0.269	1.0625097891323631e-141
B cells	EBF1	0	0.31636699843170885	0.261	0.01	0
B cells	SESN3	0	0.31430612367945276	0.322	0.087	0
B cells	MGAT5	0	0.31325114332181786	0.31	0.08	0
B cells	NCOA3	1.4459861366448098e-150	0.3126906707217359	0.463	0.279	3.1600581030235673e-146
B cells	SEPT7	7.929489307169531e-145	0.31145475297094616	0.671	0.492	1.7329105931888293e-140
B cells	NFKBID	4.060775529522862e-165	0.3101834044092482	0.358	0.174	8.874418842219263e-161
B cells	SNHG8	1.1028092167883686e-104	0.3084818118466762	0.522	0.38	2.4100792623693006e-100
B cells	SELL	0	0.30828621066870204	0.324	0.086	0
B cells	PARP15	0	0.3042386814205068	0.277	0.053	0
B cells	PABPC1	5.627876408382623e-173	0.3041098510791803	0.604	0.373	1.2299161102879383e-168
B cells	NOP53	4.318580993050555e-133	0.30270339442563576	0.571	0.404	9.437826902212683e-129
B cells	PNISR	6.231738063535387e-127	0.30141629055134345	0.5	0.329	1.3618840364050235e-122
B cells	RPS19	1.0206206392681901e-194	0.3012194934500907	1	0.997	2.2304643450567025e-190
B cells	BCAS4	0	0.2982351392472364	0.297	0.069	0
B cells	RPL6	1.0077439667169465e-169	0.2967863462728775	0.995	0.981	2.202323664863215e-165
B cells	ELF1	1.002991066828284e-124	0.29674772334477073	0.647	0.482	2.1919366774465317e-120
B cells	MYCBP2	1.65518669477913e-118	0.29520575189562925	0.554	0.394	3.617245002770311e-114
B cells	USP8	1.4150644215302906e-88	0.2951849011178723	0.403	0.272	3.0924817868122973e-84
B cells	NAP1L1	1.1778561041486835e-115	0.2946552057826314	0.705	0.555	2.574086730006533e-111
B cells	BTF3	7.469837658175601e-142	0.2925755582948599	0.855	0.759	1.6324583218176958e-137
B cells	GPR18	0	0.2906476036715724	0.211	0.031	0
B cells	EEF1A1	3.2226725217364166e-128	0.2900640690664955	0.823	0.73	7.042828529002765e-124
B cells	HLA-DMB	0	0.28805049247363446	0.429	0.099	0
B cells	RPL10	6.298172462484618e-195	0.28606260385271387	0.999	0.995	1.3764026099513884e-190
B cells	AL121944.1	3.7518566852029775e-146	0.2852765699263379	0.379	0.201	8.199307599842587e-142
B cells	FOXP1	1.0115961547197117e-114	0.2824261113688468	0.439	0.266	2.210742236524458e-110
B cells	COMMD6	3.642685750844184e-120	0.28224183083095844	0.676	0.515	7.96072543989488e-116
B cells	SPIB	0	0.28044686742812486	0.22	0.014	0
B cells	HNRNPA2B1	3.1215940426276965e-103	0.27854451954736215	0.652	0.505	6.8219316207585676e-99
B cells	HLA-E	4.9305809066815605e-152	0.2780553560780692	0.944	0.878	1.0775291513461883e-147
B cells	ADAM28	3.5889797777640185e-301	0.2777974295356329	0.293	0.091	7.843356406325487e-297
B cells	EIF3E	4.511629665331472e-116	0.2755017322108153	0.7	0.567	9.8597154706154e-112
B cells	CD40	5.6824377349798935e-307	0.2731951699829509	0.307	0.096	1.241839942602506e-302
B cells	LINC01857	0	0.27242806873863523	0.186	0.009	0
B cells	PARP1	1.3472406581006773e-82	0.2722460301297066	0.436	0.308	2.9442597342132203e-78
B cells	RUBCNL	0	0.27209064532872085	0.229	0.018	0
B cells	SET	8.746173327625819e-95	0.26848217802245933	0.601	0.462	1.9113887190193466e-90
B cells	KDM4B	7.145415962061395e-278	0.2681899903105353	0.263	0.079	1.5615592043488974e-273
B cells	CMTM6	1.4693298462885558e-152	0.26807145078160965	0.52	0.311	3.21107344607901e-148
B cells	NPM1	9.356230072804685e-111	0.26788627149706423	0.78	0.681	2.044710520110736e-106
B cells	ID3	1.3417149640988122e-95	0.2671716160773133	0.329	0.186	2.9321838825415443e-91
B cells	HLA-DOB	0	0.2643113884768009	0.258	0.05	0
B cells	MAP3K1	5.630097803506923e-146	0.2621887178190577	0.355	0.184	1.230401573978403e-141
B cells	PPM1K	4.419913956656627e-99	0.26150254443077675	0.415	0.266	9.659279960877392e-95
B cells	JUNB	8.890131533187741e-157	0.26004499194864117	0.965	0.918	1.9428493452628488e-152
B cells	NCL	1.486990269251205e-109	0.2597922911456201	0.825	0.725	3.2496685344215835e-105
B cells	TMEM243	9.341087073926797e-132	0.2590268498435285	0.414	0.243	2.0414011691359624e-127
B cells	CD47	1.9495130937948e-102	0.25799360978463004	0.523	0.37	4.260465915179156e-98
B cells	LYL1	0	0.2575931856046623	0.256	0.05	0
B cells	HLA-DMA	3.179738146559326e-283	0.25600852359712806	0.393	0.146	6.948999745490751e-279
B cells	BACH2	0	0.2558951280276798	0.207	0.032	0
B cells	MAP4K4	1.204733628753649e-264	0.254368027971338	0.288	0.093	2.632824872278225e-260
B cells	SH3BP5	6.189858054269756e-167	0.250406479229873	0.358	0.172	1.3527315791801125e-162
B cells	DDX5	4.977750810734601e-140	0.2500009093932758	0.971	0.947	1.0878376621779397e-135
GC B cells	HIST1H4C	8.319986625472073e-110	2.639268327034769	0.895	0.354	1.818249877130667e-105
GC B cells	HMGB2	5.434789166093511e-165	2.137721672709339	0.962	0.302	1.1877188243580759e-160
GC B cells	HMGB1	5.773882055585721e-118	1.7424902851492041	0.99	0.668	1.2618241844277034e-113
GC B cells	TUBB	1.7132261178827413e-168	1.7132245609455734	0.919	0.238	3.744084358020943e-164
GC B cells	TUBA1B	1.8706486688644517e-100	1.669717257658718	0.938	0.481	4.088115600936372e-96
GC B cells	H2AFZ	4.3969975396882634e-116	1.6216620187009025	1	0.666	9.60919842323473e-112
GC B cells	TCL1A	0	1.6180803989044799	0.55	0.032	0
GC B cells	DUT	6.809158643214457e-161	1.539347128385549	0.89	0.222	1.4880735298880875e-156
GC B cells	ANP32B	6.885495220000991e-116	1.475206552430243	0.971	0.464	1.5047561253790166e-111
GC B cells	MKI67	0	1.4351777181464653	0.828	0.02	0
GC B cells	MS4A1	2.4179789960630528e-119	1.427543857817946	0.541	0.093	5.284251297996195e-115
GC B cells	HMGN1	4.860866087017467e-101	1.4115510199187655	0.947	0.43	1.0622936746567973e-96
GC B cells	CD79B	2.466600949697512e-137	1.4093301356075014	0.818	0.21	5.390509715468943e-133
GC B cells	GAPDH	1.9327411110840507e-103	1.3986780867438249	1	0.848	4.223812424163085e-99
GC B cells	IGHG4	7.09522266758651e-46	1.3614280082551913	0.258	0.046	1.5505899617743558e-41
GC B cells	TOP2A	0	1.342695058316977	0.713	0.023	0
GC B cells	PARP1	1.1063463930728873e-121	1.3217073990300041	0.904	0.317	2.417809407421488e-117
GC B cells	BASP1	1.194354434988054e-120	1.30817667733435	0.88	0.267	2.6101421822228934e-116
GC B cells	SMC4	7.573906598153203e-235	1.3025537458847518	0.866	0.141	1.6552015479604008e-230
GC B cells	MYBL2	0	1.2802979638253364	0.914	0.024	0
GC B cells	RAN	3.7425205611451104e-113	1.2788445462540154	0.976	0.476	8.178904434326524e-109
GC B cells	DEK	1.8755041817988771e-37	1.2594078344194353	0.579	0.309	4.098726838903266e-33
GC B cells	TYMS	0	1.257805425085027	0.785	0.019	0
GC B cells	NUSAP1	0	1.2550746830717954	0.794	0.042	0
GC B cells	PTTG1	5.560076782063355e-252	1.233661717781957	0.809	0.109	1.2150991799521257e-247
GC B cells	METAP2	7.916279730567025e-92	1.22150833273684	0.756	0.235	1.7300237723181176e-87
GC B cells	HMGA1	9.56491260274054e-182	1.218312877554724	0.847	0.173	2.0903160002029176e-177
GC B cells	LRMP	1.761835011218724e-162	1.2155442092889186	0.67	0.112	3.8503142335173996e-158
GC B cells	PCNA	3.05436061052307e-203	1.1844016873818937	0.775	0.122	6.674999678237117e-199
GC B cells	RANBP1	3.4895202275232996e-129	1.166244416097784	0.866	0.259	7.625997505229419e-125
GC B cells	CENPF	0	1.162627547915954	0.684	0.039	0
GC B cells	ACTG1	3.262131167885956e-57	1.1564507880837551	0.971	0.851	7.129061454297968e-53
GC B cells	HIST1H1B	0	1.1437349220587782	0.545	0.012	0
GC B cells	SLC25A5	2.9628032040669067e-97	1.109561761303425	0.967	0.494	6.474910122167818e-93
GC B cells	DNMT1	8.158258913897886e-145	1.0908429976500797	0.766	0.163	1.782905903043244e-140
GC B cells	MARCKSL1	1.6555268764551715e-48	1.090678541753661	0.56	0.215	3.6179884358051316e-44
GC B cells	NUCKS1	1.1411722021410963e-77	1.070535220755662	0.909	0.442	2.4939177305591518e-73
GC B cells	LPP	3.978023322072947e-68	1.064343594578772	0.522	0.14	8.693572168058218e-64
GC B cells	CBX5	5.84780331865033e-183	1.0559722589361238	0.818	0.152	1.277978937257843e-178
GC B cells	UBE2J1	5.779221480399147e-113	1.042396881439958	0.971	0.404	1.2629910623264295e-108
GC B cells	RGS13	0	1.0342427097043945	0.469	0.027	0
GC B cells	VPREB3	1.1155163929562309e-111	1.0334509867514508	0.526	0.091	2.437849525166547e-107
GC B cells	RPA3	1.0866154936549617e-168	1.0332018725849945	0.823	0.17	2.3746894998335532e-164
GC B cells	HIST1H1D	3.964526128850552e-74	1.03238781991472	0.541	0.138	8.664075401989995e-70
GC B cells	PSIP1	1.7711355873168886e-75	1.031684396960987	0.656	0.208	3.870639712522328e-71
GC B cells	PPIB	2.7747003926844464e-11	1.0246913052445614	0.761	0.684	6.06383023817259e-7
GC B cells	SET	4.591024508176281e-80	1.0177351256619205	0.923	0.473	1.0033224960168444e-75
GC B cells	MZB1	1.3653950474116732e-34	1.0065725083233694	0.818	0.406	2.9839343366134706e-30
GC B cells	IGHG2	9.268683770032296e-8	0.9988252078286852	0.158	0.066	0.0020255781511028578
GC B cells	PRKDC	2.702307196836429e-98	0.9942134648708371	0.818	0.271	5.905622147966332e-94
GC B cells	DBI	1.7912254960946268e-62	0.9887210295820971	0.871	0.447	3.914544199165197e-58
GC B cells	PTMA	1.4229240641031938e-73	0.9885068003839761	1	0.962	3.1096582496911196e-69
GC B cells	MTDH	5.931635220347334e-80	0.98775860118558	0.981	0.593	1.2962995610547063e-75
GC B cells	ARPC2	4.5616442309256236e-67	0.9877544748332197	0.981	0.723	9.969017302264857e-63
GC B cells	YBX1	3.605946015129626e-79	0.9835319296136467	0.986	0.74	7.880434421464285e-75
GC B cells	POU2AF1	5.0815989445961323e-154	0.9761829221968772	0.943	0.251	1.1105326333520388e-149
GC B cells	UQCRH	8.287415501034792e-81	0.9679175571999051	0.967	0.664	1.8111317835961435e-76
GC B cells	MCM3	8.076206246488663e-278	0.9655040818356151	0.67	0.065	1.7649741131076323e-273
GC B cells	TK1	0	0.9652297557885601	0.651	0.016	0
GC B cells	HELLS	0	0.9651283081413248	0.67	0.043	0
GC B cells	CENPM	0	0.9625790556276221	0.761	0.063	0
GC B cells	SLBP	3.51994622305626e-91	0.9592038574129869	0.66	0.174	7.69249047586715e-87
GC B cells	CD79A	6.976379533913858e-81	0.9583915836664472	0.895	0.356	1.5246179833415346e-76
GC B cells	SMC2	0	0.9533903424786676	0.813	0.07	0
GC B cells	CENPU	0	0.9519210005923856	0.722	0.026	0
GC B cells	DDX39A	2.3713617672501036e-201	0.9463925887367015	0.837	0.144	5.1823740061483766e-197
GC B cells	CLSPN	0	0.9451571538450069	0.636	0.02	0
GC B cells	LBR	8.066722168509395e-131	0.9436005570009898	0.78	0.178	1.762901462706043e-126
GC B cells	BACH2	1.8541916125102113e-219	0.9417941500571045	0.512	0.047	4.052150349979816e-215
GC B cells	FAM111B	0	0.9394215188575029	0.435	0.013	0
GC B cells	CORO1A	3.387662530219128e-74	0.9362458467144552	0.804	0.325	7.403397693540882e-70
GC B cells	HIST1H1C	1.2315653130139572e-83	0.919796567481654	0.694	0.204	2.691462835060702e-79
GC B cells	ACTR3	1.1607268644245633e-53	0.9162022234576694	0.842	0.442	2.5366524895134406e-49
GC B cells	CBX3	1.0286368083032354e-105	0.9138188411166863	0.833	0.254	2.2479828808658907e-101
GC B cells	MYBL1	2.9197014477886334e-159	0.9131687331618398	0.507	0.063	6.380715543997279e-155
GC B cells	HSP90B1	0.002456912916151643	0.911990252352044	0.589	0.649	1
GC B cells	PFN1	8.017642072134261e-49	0.9109808972030118	0.967	0.644	1.7521754984442215e-44
GC B cells	SNRPD1	3.6191735706613605e-153	0.9073953712863048	0.785	0.163	7.909341921323337e-149
GC B cells	TMPO	2.183775971401704e-186	0.9019706830584745	0.794	0.135	4.772424007901284e-182
GC B cells	HMGN2	4.8265660705695176e-275	0.8970562806435979	0.732	0.079	1.0547977490622623e-270
GC B cells	BRI3BP	6.298481433151718e-243	0.8961348315046054	0.656	0.071	1.3764701324009764e-238
GC B cells	BCL7A	0	0.8935888746307302	0.488	0.024	0
GC B cells	SMC1A	2.349561976851542e-147	0.8917610483162635	0.809	0.171	5.13473274421136e-143
GC B cells	TPX2	0	0.8909024470039877	0.622	0.016	0
GC B cells	MCM7	0	0.890364517469635	0.699	0.06	0
GC B cells	RAD21	1.4310978388919575e-93	0.8843482899086903	0.856	0.29	3.127521217114484e-89
GC B cells	SNRNP25	1.1683415676745095e-284	0.8834261665632487	0.804	0.093	2.553293661995873e-280
GC B cells	NASP	6.474906956334498e-96	0.882324470681012	0.813	0.262	1.415026166237341e-91
GC B cells	ANP32E	1.6057901256334662e-128	0.8758482359574054	0.828	0.209	3.5092937405593767e-124
GC B cells	ODC1	1.785176387706489e-75	0.8728588677965536	0.871	0.389	3.901324477693761e-71
GC B cells	MCM4	0	0.871155696830802	0.574	0.029	0
GC B cells	LMO2	1.0302141158882749e-159	0.8661726569538928	0.402	0.039	2.251429928862236e-155
GC B cells	ARPC3	4.78799422707931e-56	0.862330809654192	0.962	0.645	1.0463682583859125e-51
GC B cells	MCM5	2.9018279874260413e-215	0.8619023286515437	0.651	0.078	6.341654883720871e-211
GC B cells	ACTB	1.3259023458208377e-39	0.8605198729621044	0.99	0.9	2.897626986556859e-35
GC B cells	SUGCT	0	0.8567227580593408	0.383	0.004	0
GC B cells	IRF8	1.74494409679055e-91	0.8535566830738498	0.56	0.122	3.813400829126068e-87
GC B cells	BIRC5	0	0.8511765997127446	0.689	0.013	0
GC B cells	HNRNPA2B1	8.027262439310841e-43	0.8491286859069188	0.88	0.517	1.7542779334869912e-38
GC B cells	CCDC167	6.641835574889113e-130	0.8430269934469886	0.804	0.198	1.4515067465362667e-125
GC B cells	POU2F2	6.432393941349701e-67	0.8425227041344683	0.713	0.246	1.4057353719425638e-62
GC B cells	LCP1	2.626380711228224e-35	0.8343910113074857	0.78	0.442	5.739692406318161e-31
GC B cells	TCEA1	1.5581209923406037e-90	0.8301055684192652	0.727	0.222	3.405117616661155e-86
GC B cells	GINS2	0	0.8300659073535039	0.584	0.015	0
GC B cells	SUB1	0.05561880195432221	0.8273077097080725	0.651	0.788	1
GC B cells	PKM	1.2000121751951093e-82	0.8243442130014815	0.828	0.285	2.6225066076713916e-78
GC B cells	MAD2L1	0	0.822958112807282	0.689	0.038	0
GC B cells	LDHB	7.67634818541796e-75	0.8130984164717339	0.938	0.462	1.677589132441241e-70
GC B cells	MEF2C	4.14260817166389e-96	0.8124216366039676	0.761	0.22	9.053255898354265e-92
GC B cells	TMEM131L	7.298983430268061e-107	0.8116339591583981	0.507	0.09	1.595119838850782e-102
GC B cells	NCL	1.0359261549941895e-47	0.8101412108725479	0.947	0.733	2.2639130191243015e-43
GC B cells	HMCES	1.6194048135105708e-92	0.8085172696278574	0.632	0.156	3.5390472794460014e-88
GC B cells	ATAD2	5.058735118224894e-264	0.8074425729836326	0.622	0.057	1.1055359727368683e-259
GC B cells	SMC3	8.59710172234362e-90	0.8066594785281604	0.785	0.245	1.8788106104009747e-85
GC B cells	RFC1	2.1814693287148826e-103	0.8062622916513782	0.789	0.224	4.767383070973504e-99
GC B cells	EZR	2.1269902812292825e-35	0.802680302522272	0.914	0.662	4.648324560598474e-31
GC B cells	BCAS4	5.937766328017028e-107	0.7999609135545129	0.502	0.089	1.2976394533248414e-102
GC B cells	LSM5	1.3496406490430504e-115	0.7996002637986344	0.885	0.266	2.9495046744186822e-111
GC B cells	CENPE	0	0.7984109260775027	0.512	0.026	0
GC B cells	HIST2H2AC	2.8669253409595735e-95	0.7976978691957733	0.536	0.107	6.265378640133052e-91
GC B cells	DCK	8.124625424980249e-87	0.79643801841628	0.536	0.12	1.7755556403751836e-82
GC B cells	PRDX6	2.5951727417144524e-77	0.7962451177668908	0.813	0.302	5.671490509742764e-73
GC B cells	SYNE2	2.194102428864646e-33	0.7943946109882098	0.665	0.333	4.7949914480407974e-29
GC B cells	EAF2	5.290567083134411e-103	0.7936342148554749	0.785	0.218	1.1562005303481942e-98
GC B cells	ISG20	1.2771339818841879e-51	0.7913695311934174	0.933	0.576	2.791048604009704e-47
GC B cells	SEC61B	7.153176518763116e-33	0.7910209858541206	0.957	0.687	1.5632551964104913e-28
